Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Hikari_Mean,Nq_Hikari_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max
PT,0.70,3,575.78,567.82,2.141,25552,25552,0,100.0,567.82,64.41,94.93,0.36,23,2.06,109.8,155,170.1,194
VT,0.30,1,246.76,249.09,1.649,11209,11209,0,100.0,249.09,56.73,70.78,0.00,0,0.00,110.4,167,138.0,138
VT,0.50,3,411.27,410.44,2.051,18470,18470,0,100.0,410.44,58.78,84.38,0.00,0,0.00,112.5,168,138.0,138
PT,0.70,1,575.78,573.16,2.126,25792,25792,0,100.0,573.16,64.50,101.31,0.35,21,2.13,111.0,173,171.1,200
VT,0.30,5,246.76,246.87,1.611,11109,11109,0,100.0,246.87,55.91,66.07,0.00,1,0.00,112.1,170,138.0,138
PT,0.85,5,699.16,704.44,2.274,31700,31700,0,100.0,704.44,70.31,155.52,3.69,94,6.71,107.9,172,184.9,261
PT,0.50,2,411.27,409.80,1.909,18441,18441,0,100.0,409.80,61.04,86.63,0.00,0,0.10,113.4,170,157.4,175
VT,0.85,2,699.16,699.07,2.578,31458,31458,0,100.0,699.07,91.84,296.15,17.19,163,21.71,111.7,170,138.0,138
VT,0.70,3,575.78,570.51,2.410,25673,25673,0,100.0,570.51,65.20,100.81,0.26,11,2.52,115.2,169,138.0,138
PT,0.50,5,411.27,415.69,1.881,18706,18706,0,100.0,415.69,61.45,87.39,0.00,0,0.27,115.3,172,162.1,187
PT,0.30,3,246.76,248.91,1.585,11201,11201,0,100.0,248.91,56.73,73.93,0.00,0,0.00,113.3,171,147.4,156
PT,0.95,4,781.42,779.91,2.323,35096,35096,0,100.0,779.91,101.73,361.41,29.65,230,31.93,118.3,169,210.8,414
VT,0.30,4,246.76,251.24,1.639,11306,11306,0,100.0,251.24,56.61,69.54,0.00,0,0.00,112.2,169,138.0,138
VT,1.05,5,863.67,862.04,2.768,38792,38792,0,100.0,862.04,967.76,2009.34,770.22,1039,781.85,112.2,167,138.0,138
PT,0.70,2,575.78,573.36,2.155,25801,25801,0,100.0,573.36,64.81,102.82,0.70,33,2.31,117.1,169,172.7,221
PT,0.30,1,246.76,247.00,1.589,11115,11115,0,100.0,247.00,56.33,70.59,0.00,0,0.00,115.7,172,147.1,156
VT,1.05,2,863.67,861.40,2.731,38763,38763,0,100.0,861.40,201.77,395.35,120.47,290,121.45,115.3,165,138.0,138
PT,0.70,5,575.78,572.04,2.104,25742,25742,0,100.0,572.04,64.11,97.15,0.34,19,1.90,112.2,172,173.0,207
PT,0.50,4,411.27,414.00,1.970,18630,18630,0,100.0,414.00,59.78,85.07,0.00,0,0.00,113.3,168,158.5,173
PT,1.05,5,863.67,864.49,2.253,38902,38902,0,100.0,864.49,1156.09,3323.45,877.59,2274,946.88,121.3,170,1070.1,2432
PT,0.95,1,781.42,777.64,2.251,34994,34994,0,100.0,777.64,204.76,505.22,108.92,335,111.96,110.0,158,292.4,498
