Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Semaphore_Mean,Nq_Semaphore_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
VT,0.70,5,558.08,562.82,2.230,25327,25327,0,100.0,562.82,61.88,75.93,0.03,7,0.00,1537.0,2079,133.2,134,4,58,14.50,26.27,991.00
VT,0.95,2,757.40,755.36,2.576,33991,33991,0,100.0,755.36,74.42,117.01,8.84,41,8.84,1397.8,2040,133.0,133,5,54,10.80,29.02,568.00
PT,0.60,1,478.36,483.02,1.936,21736,21736,0,100.0,483.02,62.00,77.96,0.01,3,0.00,1158.3,1683,164.7,183,10,175,17.50,25.02,8.00
PT,1.05,3,837.12,838.22,2.038,37720,37720,0,100.0,838.22,1488.98,3008.40,1113.33,2307,1195.53,741.1,1070,1301.7,2416,14,97,6.93,15.64,197.00
VT,0.30,4,239.18,242.58,1.601,10916,10916,0,100.0,242.58,63.23,69.25,0.00,0,0.12,423.7,634,133.0,133,5,48,9.60,9.47,187.00
PT,1.05,4,837.12,836.07,2.062,37623,37623,0,100.0,836.07,2099.41,3974.77,1567.66,2967,1702.81,129.1,193,1768.3,3105,64,415,6.48,2.98,129.00
VT,0.50,2,398.63,399.38,2.006,17972,17972,0,100.0,399.38,62.85,72.30,0.00,0,0.05,124.3,181,133.0,133,32,169,5.28,2.69,91.00
VT,1.05,2,837.12,832.16,2.770,37447,37447,0,100.0,832.16,1586.01,2838.72,1203.41,2225,1267.62,140.4,219,133.0,133,61,426,6.98,3.56,118.00
VT,1.05,1,837.12,834.64,2.720,37559,37559,0,100.0,834.64,1639.20,2802.34,1247.85,2172,1315.80,132.6,197,133.0,133,56,363,6.48,3.04,115.00
PT,0.50,1,398.63,397.64,1.753,17894,17894,0,100.0,397.64,60.60,74.74,0.00,0,0.00,137.8,196,157.6,171,18,127,7.06,3.02,51.00
VT,0.85,3,677.67,675.22,2.434,30385,30385,0,100.0,675.22,64.54,86.67,0.95,17,1.23,128.3,190,133.0,133,31,299,9.65,2.89,120.00
VT,0.70,2,558.08,558.60,2.266,25137,25137,0,100.0,558.60,63.05,79.09,0.06,6,0.19,136.7,190,133.0,133,25,223,8.92,2.89,119.00
PT,0.50,3,398.63,400.07,1.778,18003,18003,0,100.0,400.07,61.24,75.54,0.00,0,0.00,125.9,190,159.3,179,18,138,7.67,2.89,107.00
PT,0.85,5,677.67,679.04,2.086,30557,30557,0,100.0,679.04,65.08,99.86,2.30,36,1.60,126.9,183,181.9,204,35,237,6.77,2.73,44.00
VT,0.50,4,398.63,400.24,1.996,18011,18011,0,100.0,400.24,63.00,72.13,0.00,0,0.11,131.5,188,133.0,133,18,138,7.67,2.84,108.00
VT,0.60,4,478.36,477.02,2.149,21466,21466,0,100.0,477.02,62.58,73.95,0.00,0,0.00,128.4,189,133.0,133,22,189,8.59,2.87,75.00
PT,0.95,2,757.40,756.98,2.115,34064,34064,0,100.0,756.98,104.88,223.67,31.40,135,31.92,132.2,188,214.5,294,37,316,8.54,2.84,122.00
PT,0.95,3,757.40,755.64,2.157,34004,34004,0,100.0,755.64,91.16,173.22,19.15,81,21.49,128.1,187,206.3,279,41,307,7.49,2.82,116.00
VT,0.85,2,677.67,678.82,2.448,30547,30547,0,100.0,678.82,65.73,93.50,1.67,23,2.04,131.8,186,133.1,134,35,324,9.26,2.80,67.00
VT,0.60,1,478.36,472.96,2.076,21283,21283,0,100.0,472.96,61.90,73.80,0.00,0,0.00,126.2,183,133.0,133,22,162,7.36,2.73,82.00
VT,0.30,5,239.18,238.36,1.556,10726,10726,0,100.0,238.36,62.26,68.98,0.00,0,0.00,127.4,189,133.5,135,10,55,5.50,2.87,129.00
PT,0.30,4,239.18,241.07,1.454,10848,10848,0,100.0,241.07,60.20,69.86,0.00,0,0.00,126.7,188,147.3,155,11,79,7.18,2.87,97.00
PT,0.70,4,558.08,566.53,1.960,25494,25494,0,100.0,566.53,61.65,80.52,0.10,11,0.00,120.5,186,169.2,187,27,200,7.41,2.82,41.00
PT,0.70,5,558.08,557.64,1.971,25094,25094,0,100.0,557.64,62.42,80.71,0.08,10,0.00,117.8,187,168.1,186,27,225,8.33,2.82,38.00
PT,0.75,2,597.94,601.89,1.966,27085,27085,0,100.0,601.89,62.39,86.39,0.46,17,0.00,125.3,188,170.9,188,29,220,7.59,2.84,67.00
PT,0.75,3,597.94,597.20,2.036,26874,26874,0,100.0,597.20,62.32,85.12,0.26,14,0.00,132.2,187,170.6,187,31,225,7.26,2.82,59.00
PT,1.05,1,837.12,838.09,1.979,37714,37714,0,100.0,838.09,2296.15,4196.48,1731.76,3096,1871.82,126.3,184,1918.8,3245,46,367,7.98,2.76,56.00
PT,0.80,4,637.81,634.36,2.029,28546,28546,0,100.0,634.36,63.23,91.91,0.75,13,0.33,128.0,182,174.4,193,33,217,6.58,2.71,55.00
PT,0.75,4,597.94,587.53,2.030,26439,26439,0,100.0,587.53,62.14,85.28,0.38,15,0.00,135.7,190,171.7,191,28,195,6.96,2.89,80.00
VT,0.65,3,518.22,513.53,5.144,23109,23109,0,100.0,513.53,270.75,2002.51,89.40,1052,106.83,121.4,180,132.3,133,24,170,7.08,2.67,117.00
VT,0.95,3,757.40,757.71,2.560,34097,34097,0,100.0,757.71,74.57,127.01,8.92,49,8.99,130.7,188,133.0,133,42,331,7.88,2.84,62.00
PT,0.80,5,637.81,635.98,2.052,28619,28619,0,100.0,635.98,64.10,90.92,0.92,18,0.88,132.5,188,175.8,198,33,230,6.97,2.84,88.00
VT,0.65,2,518.22,521.73,2.205,23478,23478,0,100.0,521.73,62.65,77.84,0.00,1,0.00,131.7,188,132.0,132,25,202,8.08,2.84,39.00
VT,0.80,4,637.81,639.51,2.320,28778,28778,0,100.0,639.51,62.17,82.15,0.26,6,0.00,127.2,187,132.0,132,31,240,7.74,2.82,64.00
PT,0.60,3,478.36,480.31,1.893,21614,21614,0,100.0,480.31,61.97,77.83,0.00,0,0.00,129.8,187,162.8,175,23,195,8.48,2.82,63.00
PT,0.50,4,398.63,396.67,1.798,17850,17850,0,100.0,396.67,61.07,74.92,0.00,0,0.00,123.3,185,159.0,172,19,157,8.26,2.78,25.00
PT,0.30,3,239.18,241.47,1.490,10866,10866,0,100.0,241.47,61.38,67.68,0.00,0,0.00,125.0,189,146.5,156,11,53,4.82,2.87,77.00
PT,0.65,3,518.22,519.84,1.887,23393,23393,0,100.0,519.84,61.57,78.73,0.02,4,0.00,126.5,185,164.6,182,25,202,8.08,2.80,24.00
VT,0.75,4,597.94,596.51,2.253,26843,26843,0,100.0,596.51,61.86,79.17,0.23,10,0.00,131.4,190,132.0,132,29,235,8.10,2.89,37.00
PT,0.30,1,239.18,239.18,1.496,10763,10763,0,100.0,239.18,61.23,70.02,0.00,0,0.00,127.4,186,146.3,157,11,72,6.55,2.80,87.00
VT,0.95,4,757.40,757.22,2.560,34075,34075,0,100.0,757.22,73.90,123.94,9.01,51,8.47,118.5,176,132.0,132,39,339,8.69,2.60,104.00
PT,0.95,4,757.40,763.49,2.197,34357,34357,0,100.0,763.49,92.61,197.39,22.99,104,22.83,129.0,188,210.0,280,39,262,6.72,2.84,130.00
VT,0.50,1,398.63,396.78,1.957,17855,17855,0,100.0,396.78,62.31,72.59,0.00,0,0.00,130.0,187,132.0,132,18,149,8.28,2.82,116.00
PT,0.50,2,398.63,397.56,1.759,17890,17890,0,100.0,397.56,61.04,75.47,0.00,0,0.00,129.9,188,156.9,173,19,155,8.16,2.84,43.00
VT,0.85,5,677.67,674.64,2.383,30359,30359,0,100.0,674.64,63.96,92.27,1.14,29,0.84,126.5,184,132.0,132,32,305,9.53,2.78,116.00
VT,0.80,2,637.81,635.64,2.330,28604,28604,0,100.0,635.64,62.73,81.85,0.41,21,0.01,125.6,185,132.0,132,31,257,8.29,2.78,41.00
VT,1.05,5,837.12,845.76,2.740,38059,38059,0,100.0,845.76,2198.94,3552.25,1697.72,2896,1806.72,131.1,189,132.0,132,54,411,7.61,2.87,57.00
VT,0.70,4,558.08,551.38,2.289,24812,24812,0,100.0,551.38,63.13,78.37,0.01,2,0.23,136.0,181,132.0,132,28,271,9.68,2.69,118.00
VT,0.70,3,558.08,556.67,2.235,25050,25050,0,100.0,556.67,62.72,78.65,0.16,13,0.00,130.4,185,132.0,132,26,233,8.96,2.78,121.00
PT,0.70,3,558.08,555.98,1.931,25019,25019,0,100.0,555.98,61.71,79.34,0.10,6,0.00,122.7,180,166.6,180,27,211,7.81,2.67,65.00
VT,0.60,5,478.36,480.11,2.141,21605,21605,0,100.0,480.11,62.43,73.27,0.00,0,0.00,126.6,183,132.0,132,22,181,8.23,2.73,123.00
VT,0.75,1,597.94,597.80,2.331,26901,26901,0,100.0,597.80,63.06,81.00,0.11,15,0.20,128.0,183,132.0,132,31,276,8.90,2.73,54.00
PT,0.60,2,478.36,482.16,1.830,21697,21697,0,100.0,482.16,61.02,76.37,0.00,0,0.00,126.4,186,165.1,180,23,207,9.00,2.80,78.00
VT,0.60,2,478.36,476.87,2.082,21459,21459,0,100.0,476.87,61.69,73.15,0.00,0,0.00,129.2,186,132.7,133,22,161,7.32,2.80,112.00
PT,0.75,1,597.94,599.60,1.968,26982,26982,0,100.0,599.60,62.29,81.79,0.22,17,0.00,126.1,183,172.6,191,29,215,7.41,2.73,49.00
PT,0.65,1,518.22,508.11,1.903,22865,22865,0,100.0,508.11,62.18,79.28,0.00,0,0.00,129.0,186,165.3,183,24,241,10.04,2.80,85.00
VT,0.70,1,558.08,557.87,2.200,25104,25104,0,100.0,557.87,61.75,76.91,0.01,2,0.00,134.5,185,132.0,132,27,230,8.52,2.78,38.00
PT,0.85,1,677.67,675.71,1.996,30407,30407,0,100.0,675.71,63.73,97.89,1.45,22,0.69,128.8,188,174.7,194,33,245,7.42,2.84,55.00
VT,0.75,3,597.94,603.84,2.356,27173,27173,0,100.0,603.84,63.99,82.66,0.16,7,0.77,128.8,190,132.0,132,28,277,9.89,2.89,116.00
PT,0.75,5,597.94,592.96,1.969,26683,26683,0,100.0,592.96,62.69,84.15,0.25,13,0.00,127.9,183,170.7,186,31,248,8.00,2.73,70.00
PT,1.05,5,837.12,840.78,2.065,37835,37835,0,100.0,840.78,1719.59,3389.86,1296.51,2583,1393.06,127.2,189,1500.3,2759,44,330,7.50,2.87,85.00
VT,0.65,5,518.22,514.67,2.229,23160,23160,0,100.0,514.67,62.93,77.80,0.00,0,0.11,145.0,215,132.0,132,20,198,9.90,3.44,61.00
PT,0.50,5,398.63,400.67,1.750,18030,18030,0,100.0,400.67,60.41,74.37,0.00,0,0.00,133.9,192,155.6,169,20,117,5.85,2.93,116.00
VT,0.95,5,757.40,759.98,2.621,34199,34199,0,100.0,759.98,73.22,118.28,8.06,50,7.99,129.1,188,132.2,133,37,288,7.78,2.84,124.00
PT,0.65,2,518.22,511.62,1.889,23023,23023,0,100.0,511.62,61.78,78.72,0.11,10,0.00,128.4,186,166.1,182,25,191,7.64,2.80,18.00
VT,1.05,3,837.12,840.04,2.742,37802,37802,0,100.0,840.04,1659.77,2980.22,1262.45,2324,1341.60,138.9,224,132.0,133,39,370,9.49,3.67,124.00
VT,0.50,5,398.63,396.60,1.972,17847,17847,0,100.0,396.60,62.44,71.21,0.00,0,0.00,131.8,195,132.0,132,19,132,6.95,3.00,81.00
VT,0.75,2,597.94,592.98,2.363,26684,26684,0,100.0,592.98,63.40,81.05,0.05,6,0.40,134.9,191,132.0,132,27,259,9.59,2.91,95.00
PT,0.85,4,677.67,679.27,2.061,30567,30567,0,100.0,679.27,65.45,99.89,1.80,23,1.85,133.3,192,180.3,197,32,288,9.00,2.93,48.00
VT,0.95,1,757.40,748.13,2.519,33666,33666,0,100.0,748.13,68.50,111.35,5.31,48,4.33,131.5,185,132.0,132,36,287,7.97,2.78,24.00
VT,0.85,1,677.67,675.42,2.440,30394,30394,0,100.0,675.42,65.38,90.74,1.32,27,1.80,124.8,186,132.0,132,33,340,10.30,2.80,36.00
VT,0.75,5,597.94,600.38,2.366,27017,27017,0,100.0,600.38,63.37,82.31,0.15,10,0.39,129.3,188,132.0,132,29,276,9.52,2.84,51.00
PT,0.85,2,677.67,679.16,2.114,30562,30562,0,100.0,679.16,64.85,95.97,1.73,22,1.45,130.4,182,178.3,200,35,270,7.71,2.71,115.00
VT,0.30,1,239.18,239.82,1.607,10792,10792,0,100.0,239.82,63.20,67.84,0.00,0,0.12,123.5,185,132.0,132,11,57,5.18,2.78,24.00
PT,0.80,3,637.81,634.91,2.054,28571,28571,0,100.0,634.91,63.69,95.16,1.07,21,0.62,129.3,189,174.5,203,31,282,9.10,2.89,30.00
VT,0.85,4,677.67,687.76,2.423,30949,30949,0,100.0,687.76,65.19,92.31,1.22,25,1.70,131.9,187,132.0,132,33,346,10.48,2.82,77.00
PT,0.95,5,757.40,757.80,2.162,34101,34101,0,100.0,757.80,84.79,152.20,15.92,66,16.73,130.2,189,198.2,248,39,266,6.82,2.87,106.00
PT,1.05,2,837.12,838.09,2.043,37714,37714,0,100.0,838.09,2547.62,4156.16,1937.26,3260,2082.57,128.1,206,2123.2,3409,40,320,8.00,3.24,30.00
PT,0.95,1,757.40,757.64,2.160,34094,34094,0,100.0,757.64,88.39,151.01,18.91,63,19.45,135.7,197,203.1,250,36,338,9.39,3.04,89.00
VT,0.30,3,239.18,239.98,1.614,10799,10799,0,100.0,239.98,63.50,68.30,0.00,0,0.19,127.1,186,132.0,132,11,61,5.55,2.80,30.00
PT,0.80,1,637.81,636.33,1.997,28635,28635,0,100.0,636.33,62.36,87.39,0.61,17,0.00,129.7,187,174.7,203,30,197,6.57,2.84,117.00
VT,0.50,3,398.63,399.53,2.017,17979,17979,0,100.0,399.53,62.90,72.01,0.00,0,0.07,134.0,186,132.0,132,18,146,8.11,2.80,101.00
VT,0.80,3,637.81,635.20,2.385,28584,28584,0,100.0,635.20,63.63,83.08,0.36,10,0.58,135.9,187,132.0,132,30,282,9.40,2.84,119.00
VT,0.30,2,239.18,239.51,1.619,10778,10778,0,100.0,239.51,63.62,68.34,0.00,0,0.22,125.8,189,132.7,134,11,61,5.55,2.87,26.00
VT,0.65,1,518.22,521.20,2.166,23454,23454,0,100.0,521.20,62.07,76.45,0.00,0,0.00,125.8,185,133.1,134,25,239,9.56,2.80,43.00
VT,0.65,4,518.22,525.27,2.248,23637,23637,0,100.0,525.27,62.37,75.28,0.05,10,0.00,131.5,184,132.0,132,25,168,6.72,2.76,51.00
PT,0.65,4,518.22,523.60,2.064,23562,23562,0,100.0,523.60,63.30,94.88,0.35,25,0.31,129.4,186,167.7,185,25,170,6.80,2.80,74.00
VT,0.80,5,637.81,636.89,2.452,28660,28660,0,100.0,636.89,1866.65,5596.97,1425.44,4483,1148.90,137.6,192,132.0,132,45,325,7.22,2.93,49.00
VT,1.05,4,837.12,841.51,2.797,37868,37868,0,100.0,841.51,1564.37,3127.20,1175.24,2447,1263.66,143.1,220,132.0,132,41,320,7.80,3.56,31.00
VT,0.80,1,637.81,638.98,2.384,28754,28754,0,100.0,638.98,63.97,84.31,0.56,13,0.80,134.3,197,132.0,132,30,290,9.67,3.04,135.00
