Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Hikari_Mean,Nq_Hikari_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
PT,0.80,4,704.75,701.24,2.263,31556,31556,0,100.0,701.24,73.26,182.84,5.99,96,11.57,106.2,161,177.0,224,28,77.00,2.75,2.36,70.00
PT,0.75,4,660.70,664.53,2.250,29904,29904,0,100.0,664.53,69.42,141.76,2.90,45,8.41,110.3,162,175.0,232,29,75.00,2.59,2.38,22.00
VT,0.65,3,572.61,569.53,2.452,25629,25629,0,100.0,569.53,59.88,90.85,0.24,23,1.78,110.4,162,138.0,138,23,53.00,2.30,2.38,76.00
VT,0.95,3,836.89,833.93,2.713,37527,37527,0,100.0,833.93,738.00,1878.68,546.02,1348,568.11,114.0,157,138.0,138,38,123.00,3.24,2.27,24.00
PT,0.80,5,704.75,701.33,2.258,31560,31560,0,100.0,701.33,93.41,328.84,18.49,202,25.70,105.2,160,201.0,355,30,82.00,2.73,2.33,34.00
VT,0.65,2,572.61,577.16,2.389,25972,25972,0,100.0,577.16,62.87,94.00,0.38,21,3.53,106.6,156,138.0,138,24,62.00,2.58,2.24,24.00
VT,0.80,4,704.75,708.51,2.621,31883,31883,0,100.0,708.51,169.57,525.91,69.25,334,79.93,106.1,162,138.0,138,31,89.00,2.87,2.38,17.00
PT,0.60,3,528.56,526.53,2.158,23694,23694,0,100.0,526.53,60.23,86.60,0.02,2,1.83,105.9,162,166.7,194,25,72.00,2.88,2.38,26.00
PT,0.50,4,440.47,441.04,1.903,19847,19847,0,100.0,441.04,58.52,83.63,0.01,1,0.78,112.9,165,158.2,183,21,38.00,1.81,2.44,14.00
PT,0.30,3,264.28,263.89,1.611,11875,11875,0,100.0,263.89,56.17,71.64,0.00,0,0.00,107.7,163,146.4,163,11,15.00,1.36,2.40,65.00
PT,0.65,3,572.61,572.09,2.187,25744,25744,0,100.0,572.09,63.94,109.29,0.61,39,4.11,110.0,162,162.9,195,26,61.00,2.35,2.38,2.00
VT,0.75,4,660.70,658.64,2.549,29639,29639,0,100.0,658.64,79.03,222.11,7.74,123,14.67,112.2,164,138.0,138,27,80.00,2.96,2.42,91.00
PT,0.30,1,264.28,267.69,1.677,12046,12046,0,100.0,267.69,56.28,69.66,0.00,0,0.00,109.4,163,150.4,161,12,18.00,1.50,2.40,17.00
VT,0.95,4,836.89,834.80,2.741,37566,37566,0,100.0,834.80,1807.03,3566.23,1414.38,2076,1461.13,112.9,156,138.0,138,46,177.00,3.85,2.24,80.00
PT,0.95,4,836.89,831.80,2.371,37431,37431,0,100.0,831.80,106.51,224.18,36.29,136,41.38,107.2,158,223.4,323,33,92.00,2.79,2.29,95.00
VT,0.50,1,440.47,443.11,2.143,19940,19940,0,100.0,443.11,57.52,80.67,0.00,0,0.34,113.7,160,138.0,138,18,40.00,2.22,2.33,36.00
PT,0.50,2,440.47,444.40,1.974,19998,19998,0,100.0,444.40,58.43,85.08,0.00,0,0.74,110.6,162,160.2,172,19,40.00,2.11,2.38,32.00
VT,0.85,5,748.80,743.67,2.641,33465,33465,0,100.0,743.67,223.91,644.21,113.75,425,124.30,107.8,158,138.0,138,32,87.00,2.72,2.29,72.00
VT,0.80,2,704.75,703.09,2.613,31639,31639,0,100.0,703.09,122.25,327.95,38.19,195,46.05,108.5,158,138.0,138,30,104.00,3.47,2.29,87.00
VT,1.05,5,924.98,920.09,2.803,41404,41404,0,100.0,920.09,5397.85,12145.06,4393.84,6484,4914.28,136.9,198,138.0,138,66,284.00,4.30,3.18,76.00
VT,0.70,4,616.66,610.62,2.414,27478,27478,0,100.0,610.62,61.89,92.44,0.47,13,3.13,115.8,176,138.0,138,30,77.00,2.57,2.69,118.00
VT,0.70,3,616.66,615.82,2.524,27712,27712,0,100.0,615.82,69.09,172.79,2.52,72,7.59,116.3,170,138.0,138,26,67.00,2.58,2.56,16.00
PT,0.70,3,616.66,617.60,2.193,27792,27792,0,100.0,617.60,63.41,92.75,0.84,26,4.11,113.3,171,172.5,211,26,62.00,2.38,2.58,116.00
VT,0.60,5,528.56,528.29,2.319,23773,23773,0,100.0,528.29,59.80,86.24,0.01,1,1.61,112.5,168,138.0,138,20,48.00,2.40,2.51,60.00
VT,0.75,1,660.70,659.47,2.581,29676,29676,0,100.0,659.47,96.38,348.20,19.56,197,26.13,118.8,172,138.3,139,26,81.00,3.12,2.60,22.00
PT,0.60,2,528.56,529.91,2.141,23846,23846,0,100.0,529.91,61.87,89.17,0.10,6,2.71,113.0,172,170.0,194,24,66.00,2.75,2.60,82.00
VT,0.60,2,528.56,525.82,2.353,23662,23662,0,100.0,525.82,59.14,88.21,0.02,4,1.25,112.2,161,138.5,139,21,67.00,3.19,2.38,74.00
PT,0.75,1,660.70,659.44,2.246,29675,29675,0,100.0,659.44,71.69,196.61,4.68,98,9.85,110.3,166,182.4,265,28,73.00,2.61,2.47,74.00
PT,0.65,1,572.61,572.04,2.204,25742,25742,0,100.0,572.04,61.85,92.69,0.19,11,2.92,104.3,164,167.6,186,26,70.00,2.69,2.42,20.00
VT,0.70,1,616.66,614.33,2.470,27645,27645,0,100.0,614.33,63.39,97.49,0.18,9,4.08,107.4,158,138.0,138,25,81.00,3.24,2.29,16.00
PT,0.85,1,748.80,753.29,2.304,33898,33898,0,100.0,753.29,81.83,244.04,13.40,145,18.88,106.8,160,194.7,305,30,86.00,2.87,2.33,103.00
VT,0.75,3,660.70,662.04,2.517,29792,29792,0,100.0,662.04,84.26,271.98,12.65,150,18.21,110.1,159,138.0,138,28,72.00,2.57,2.31,9.00
PT,0.75,5,660.70,656.11,2.172,29525,29525,0,100.0,656.11,72.07,169.48,4.72,67,10.05,108.4,160,182.0,244,29,68.00,2.34,2.33,2.00
PT,1.05,5,924.98,923.29,2.104,41548,41548,0,100.0,923.29,3088.31,6920.66,2564.28,4031,2799.00,111.9,165,2753.1,4199,33,188.00,5.70,2.44,19.00
VT,0.65,5,572.61,568.64,2.354,25589,25589,0,100.0,568.64,59.93,89.03,0.14,20,1.81,111.4,164,138.0,138,23,61.00,2.65,2.42,62.00
PT,0.50,5,440.47,441.96,2.054,19888,19888,0,100.0,441.96,57.03,77.25,0.00,0,0.12,108.4,161,158.8,171,20,34.00,1.70,2.36,94.00
VT,0.95,5,836.89,836.16,2.678,37627,37627,0,100.0,836.16,481.63,1008.83,349.31,578,355.26,110.0,156,138.0,138,37,117.00,3.16,2.24,35.00
PT,0.65,2,572.61,570.56,2.157,25675,25675,0,100.0,570.56,61.69,90.13,0.40,13,2.81,114.9,166,171.1,199,28,70.00,2.50,2.47,44.00
VT,1.05,3,924.98,923.80,2.744,41571,41571,0,100.0,923.80,2813.41,5620.52,2324.06,4134,2546.60,126.8,170,138.0,138,62,245.00,3.95,2.56,111.00
VT,0.50,5,440.47,447.96,2.209,20158,20158,0,100.0,447.96,57.00,75.49,0.03,6,0.11,116.8,178,138.0,138,24,38.00,1.58,2.73,25.00
VT,0.75,2,660.70,657.56,2.475,29590,29590,0,100.0,657.56,88.53,307.07,13.47,163,20.89,114.8,172,138.0,138,28,67.00,2.39,2.60,32.00
PT,0.85,4,748.80,752.82,2.363,33877,33877,0,100.0,752.82,91.20,240.50,19.76,138,25.93,111.7,178,202.3,293,27,72.00,2.67,2.73,57.00
VT,0.95,1,836.89,834.02,2.735,37531,37531,0,100.0,834.02,313.61,616.46,209.17,463,214.22,120.9,178,138.0,138,31,93.00,3.00,2.73,111.00
VT,0.85,1,748.80,754.07,2.610,33933,33933,0,100.0,754.07,199.11,628.34,99.54,431,107.34,119.1,178,138.0,138,28,82.00,2.93,2.73,66.00
VT,0.75,5,660.70,657.02,2.513,29566,29566,0,100.0,657.02,65.99,154.46,2.32,78,6.07,119.6,177,138.0,138,24,89.00,3.71,2.71,21.00
PT,0.85,2,748.80,745.07,2.277,33528,33528,0,100.0,745.07,90.66,277.35,19.17,172,25.26,121.4,173,200.4,346,27,70.00,2.59,2.62,25.00
VT,0.30,1,264.28,267.69,1.688,12046,12046,0,100.0,267.69,56.59,70.72,0.00,0,0.00,114.9,174,138.0,138,9,14.00,1.56,2.64,87.00
PT,0.80,3,704.75,706.11,2.230,31775,31775,0,100.0,706.11,86.80,271.87,15.64,156,21.21,109.5,177,194.3,328,26,71.00,2.73,2.71,122.00
VT,0.85,4,748.80,748.07,2.648,33663,33663,0,100.0,748.07,171.12,426.01,76.37,272,85.55,116.0,175,138.0,138,28,90.00,3.21,2.67,43.00
PT,0.95,5,836.89,843.09,2.370,37939,37939,0,100.0,843.09,135.17,363.58,60.66,258,66.11,119.5,173,248.3,447,27,71.00,2.63,2.62,119.00
PT,1.05,2,924.98,927.51,2.084,41738,41738,0,100.0,927.51,3280.01,7644.37,2733.63,4442,2989.60,116.0,175,2953.8,4626,28,162.00,5.79,2.67,70.00
PT,0.95,1,836.89,842.58,2.299,37916,37916,0,100.0,842.58,120.05,280.44,48.35,199,53.33,109.0,174,232.5,365,27,75.00,2.78,2.64,89.00
VT,0.30,3,264.28,264.11,1.634,11885,11885,0,100.0,264.11,56.76,71.96,0.01,1,0.00,116.5,177,138.0,138,9,15.00,1.67,2.71,67.00
PT,0.80,1,704.75,704.20,2.189,31689,31689,0,100.0,704.20,72.64,173.77,5.76,70,11.19,114.2,180,184.4,251,28,71.00,2.54,2.78,3.00
VT,0.50,3,440.47,437.58,2.181,19691,19691,0,100.0,437.58,57.79,82.67,0.00,0,0.45,118.5,177,138.0,138,15,27.00,1.80,2.71,114.00
VT,0.80,3,704.75,704.53,2.651,31704,31704,0,100.0,704.53,114.11,480.17,33.09,287,40.41,126.6,178,138.2,139,26,92.00,3.54,2.73,39.00
VT,0.30,2,264.28,263.96,1.686,11878,11878,0,100.0,263.96,56.51,67.91,0.00,0,0.00,117.3,174,138.9,139,9,14.00,1.56,2.67,115.00
VT,0.65,1,572.61,573.58,2.375,25811,25811,0,100.0,573.58,60.71,96.01,0.22,16,2.26,109.9,159,138.7,139,26,80.00,3.08,2.42,95.00
VT,0.65,4,572.61,568.00,2.396,25560,25560,0,100.0,568.00,60.63,90.41,0.15,11,2.20,105.7,159,138.0,138,24,62.00,2.58,2.31,7.00
PT,0.65,4,572.61,571.73,2.162,25728,25728,0,100.0,571.73,63.69,106.35,0.45,26,3.96,105.0,164,170.2,188,27,69.00,2.56,2.42,6.00
VT,0.80,5,704.75,701.69,2.535,31576,31576,0,100.0,701.69,93.22,315.58,18.46,202,25.58,103.7,160,138.0,138,30,71.00,2.37,2.33,47.00
VT,1.05,4,924.98,919.33,2.699,41370,41370,0,100.0,919.33,2230.21,4343.97,1831.31,3560,1998.12,110.7,156,138.0,138,54,218.00,4.04,2.24,94.00
VT,0.80,1,704.75,705.36,2.601,31741,31741,0,100.0,705.36,108.46,395.17,29.44,256,36.47,105.6,164,138.0,138,32,99.00,3.09,2.42,15.00
