Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Hikari_Mean,Nq_Hikari_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max
VT,0.85,3,564.59,564.22,2.750,25390,25390,0,100.0,564.22,63.65,78.11,0.00,0,0.00,109.4,164,138.0,138
PT,1.05,1,697.44,698.27,2.490,31422,31422,0,100.0,698.27,63.92,83.79,0.00,0,0.00,116.6,166,178.4,200
VT,0.85,5,564.59,565.51,2.661,25448,25448,0,100.0,565.51,63.27,78.03,0.00,0,0.00,108.8,161,138.0,138
VT,0.50,2,332.11,329.91,2.018,14846,14846,0,100.0,329.91,62.73,77.48,0.00,0,0.00,109.4,160,138.0,138
PT,0.95,5,631.02,634.62,2.369,28558,28558,0,100.0,634.62,64.04,84.38,0.00,0,0.00,112.3,166,174.0,203
VT,0.50,4,332.11,335.47,2.044,15096,15096,0,100.0,335.47,63.00,77.59,0.00,0,0.00,112.7,162,138.0,138
PT,0.85,3,564.59,560.00,2.313,25200,25200,0,100.0,560.00,62.85,82.42,0.00,0,0.00,114.9,165,167.4,199
VT,1.05,3,697.44,699.20,3.049,31464,31464,0,100.0,699.20,64.65,80.34,0.00,0,0.00,108.4,163,138.0,138
PT,1.05,4,697.44,701.67,2.391,31575,31575,0,100.0,701.67,63.94,83.70,0.00,0,0.00,107.2,165,177.0,197
PT,0.50,1,332.11,330.29,1.862,14863,14863,0,100.0,330.29,62.30,75.53,0.00,0,0.00,113.0,167,152.5,162
VT,0.30,3,199.27,200.96,1.531,9043,9043,0,100.0,200.96,62.72,65.33,0.00,0,0.00,109.9,164,138.0,138
VT,0.30,2,199.27,197.07,1.534,8868,8868,0,100.0,197.07,63.16,65.15,0.00,0,0.00,107.0,164,138.1,139
VT,0.70,1,464.96,463.91,2.460,20876,20876,0,100.0,463.91,63.74,77.83,0.00,1,0.00,111.0,163,138.1,139
VT,0.95,2,631.02,632.87,2.923,28479,28479,0,100.0,632.87,63.82,78.13,0.00,0,0.00,111.1,165,138.1,139
VT,0.50,1,332.11,331.33,2.035,14910,14910,0,100.0,331.33,63.17,77.53,0.00,0,0.00,108.2,162,138.9,139
VT,1.05,4,697.44,705.67,3.075,31755,31755,0,100.0,705.67,65.95,87.99,0.00,1,0.00,104.0,151,138.0,138
VT,0.95,5,631.02,630.44,2.827,28370,28370,0,100.0,630.44,63.59,78.37,0.01,1,0.00,109.7,157,138.0,138
PT,0.50,3,332.11,332.98,1.844,14984,14984,0,100.0,332.98,61.42,75.22,0.00,0,0.00,96.9,150,153.4,166
VT,0.95,4,631.02,619.96,2.830,27898,27898,0,100.0,619.96,63.81,78.52,0.00,0,0.00,106.9,157,138.0,138
VT,1.05,1,697.44,693.49,3.048,31207,31207,0,100.0,693.49,64.94,81.14,0.00,0,0.00,105.3,157,138.0,138
PT,0.85,2,564.59,562.07,2.278,25293,25293,0,100.0,562.07,64.25,84.32,0.00,0,0.00,103.9,159,167.8,188
PT,0.70,4,464.96,460.64,2.140,20729,20729,0,100.0,460.64,61.87,76.39,0.00,0,0.00,102.6,153,159.0,170
PT,0.70,3,464.96,464.36,2.142,20896,20896,0,100.0,464.36,62.55,79.30,0.00,0,0.00,107.1,153,157.5,175
VT,0.30,1,199.27,199.07,1.548,8958,8958,0,100.0,199.07,63.03,64.80,0.00,0,0.00,101.7,154,138.0,138
VT,0.50,3,332.11,333.27,2.039,14997,14997,0,100.0,333.27,62.93,77.32,0.00,0,0.00,105.8,156,138.0,138
PT,0.70,1,464.96,467.44,2.130,21035,21035,0,100.0,467.44,62.23,78.16,0.00,0,0.00,107.3,155,161.7,175
VT,0.30,5,199.27,200.31,1.552,9014,9014,0,100.0,200.31,63.13,65.07,0.00,0,0.00,105.5,154,138.1,139
PT,0.85,5,564.59,559.71,2.196,25187,25187,0,100.0,559.71,63.67,83.41,0.00,0,0.00,102.1,149,168.0,182
PT,0.50,2,332.11,330.71,1.826,14882,14882,0,100.0,330.71,61.89,75.57,0.00,0,0.00,101.0,154,152.0,168
VT,0.85,2,564.59,565.04,2.710,25427,25427,0,100.0,565.04,63.43,78.11,0.00,0,0.00,107.8,158,138.0,138
VT,0.70,3,464.96,465.22,2.447,20935,20935,0,100.0,465.22,63.32,77.67,0.00,0,0.00,106.8,157,138.1,139
PT,0.50,5,332.11,330.84,1.880,14888,14888,0,100.0,330.84,62.08,75.31,0.00,0,0.00,103.6,151,152.9,163
PT,0.30,3,199.27,199.49,1.458,8977,8977,0,100.0,199.49,61.78,75.11,0.00,0,0.00,102.8,155,144.5,155
PT,0.95,4,631.02,638.98,2.327,28754,28754,0,100.0,638.98,63.52,84.50,0.00,0,0.00,98.7,150,170.3,192
VT,0.30,4,199.27,199.24,1.534,8966,8966,0,100.0,199.24,62.81,64.92,0.00,0,0.00,100.7,148,138.0,138
VT,1.05,5,697.44,692.40,3.006,31158,31158,0,100.0,692.40,65.23,82.91,0.02,1,0.00,102.4,153,138.0,138
PT,0.70,2,464.96,463.73,2.154,20868,20868,0,100.0,463.73,63.10,80.55,0.00,0,0.00,109.3,155,161.7,174
PT,0.30,1,199.27,200.51,1.478,9023,9023,0,100.0,200.51,61.91,74.06,0.00,0,0.00,105.9,155,144.8,154
VT,1.05,2,697.44,689.31,3.029,31019,31019,0,100.0,689.31,65.41,81.89,0.00,0,0.00,107.7,156,138.0,138
PT,0.70,5,464.96,461.36,2.173,20761,20761,0,100.0,461.36,62.93,79.64,0.00,0,0.00,108.4,157,160.8,174
PT,0.50,4,332.11,335.24,1.885,15086,15086,0,100.0,335.24,62.26,75.48,0.00,0,0.00,103.9,154,151.0,163
PT,1.05,5,697.44,697.69,2.409,31396,31396,0,100.0,697.69,64.40,84.75,0.00,0,0.00,105.7,155,175.4,205
PT,0.95,1,631.02,633.93,2.359,28527,28527,0,100.0,633.93,64.22,85.04,0.00,0,0.00,104.1,156,164.0,192
