Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Semaphore_Mean,Nq_Semaphore_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
VT,0.65,18,515.93,516.00,2.150,15480,15480,0,100.0,516.00,61.46,73.88,0.01,1,0.00,117.6,165,133.0,133,20,144,7.20,3.70,58.00
VT,0.65,5,515.93,510.07,2.248,15302,15302,0,100.0,510.07,62.24,72.97,0.00,0,0.00,123.2,163,133.0,133,20,109,5.45,3.63,31.00
VT,0.70,2,555.61,551.27,2.250,16538,16538,0,100.0,551.27,62.52,79.23,0.03,3,0.00,114.9,163,133.0,133,22,174,7.91,3.63,23.00
VT,1.05,12,833.42,846.10,2.693,25383,25383,0,100.0,846.10,980.93,1784.23,740.76,1350,776.67,112.9,165,133.0,133,36,244,6.78,3.70,132.00
VT,0.30,18,238.12,236.43,1.588,7093,7093,0,100.0,236.43,63.30,68.88,0.00,0,0.07,115.9,175,133.0,133,10,41,4.10,4.03,60.00
PT,0.65,3,515.93,521.90,1.951,15657,15657,0,100.0,521.90,61.53,77.54,0.03,4,0.00,111.1,160,165.1,180,20,130,6.50,3.57,69.00
PT,0.95,2,754.05,750.57,2.227,22517,22517,0,100.0,750.57,76.79,149.06,10.65,57,10.36,114.6,162,193.9,226,34,191,5.62,3.60,42.00
VT,0.30,17,238.12,236.47,1.613,7094,7094,0,100.0,236.47,62.83,66.89,0.00,0,0.00,115.2,166,133.0,133,9,22,2.44,3.73,14.00
VT,0.85,12,674.67,673.57,2.555,20207,20207,0,100.0,673.57,62.04,79.96,0.71,14,0.00,110.3,167,133.0,133,26,73,2.81,3.80,99.00
PT,0.80,2,634.99,627.97,2.276,18839,18839,0,100.0,627.97,59.80,75.49,0.19,13,0.00,111.0,164,174.5,196,25,93,3.72,3.67,60.00
PT,0.95,6,754.05,760.00,2.452,22800,22800,0,100.0,760.00,67.66,111.81,6.14,48,3.55,111.8,158,186.2,219,34,123,3.62,3.47,37.00
PT,0.30,11,238.12,237.23,1.463,7117,7117,0,100.0,237.23,60.66,69.26,0.00,0,0.00,115.1,166,147.1,154,9,44,4.89,3.73,22.00
VT,0.70,3,555.61,555.07,2.398,16652,16652,0,100.0,555.07,61.77,67.67,0.01,2,0.00,113.5,163,133.0,133,22,65,2.95,3.67,44.00
PT,0.80,19,634.99,640.80,2.074,19224,19224,0,100.0,640.80,63.25,91.07,1.05,27,0.17,111.9,163,174.5,188,25,142,5.68,3.63,82.00
VT,0.80,10,634.99,632.80,2.411,18984,18984,0,100.0,632.80,63.47,83.46,0.35,8,0.30,118.0,165,133.0,133,28,213,7.61,3.70,26.00
VT,0.50,11,396.87,391.40,2.007,11742,11742,0,100.0,391.40,62.85,71.21,0.00,0,0.00,112.8,165,133.0,133,15,77,5.13,3.70,44.00
PT,0.30,3,238.12,237.10,1.442,7113,7113,0,100.0,237.10,60.05,69.41,0.00,0,0.00,113.0,165,147.7,158,9,37,4.11,3.70,44.00
VT,0.85,1,674.67,669.90,2.465,20097,20097,0,100.0,669.90,64.04,85.53,0.50,16,0.70,120.1,162,133.0,133,27,195,7.22,3.63,21.00
VT,0.60,14,476.24,483.00,2.175,14490,14490,0,100.0,483.00,62.12,71.67,0.00,0,0.00,116.0,157,133.0,133,19,111,5.84,3.43,16.00
VT,0.95,2,754.05,749.53,2.582,22486,22486,0,100.0,749.53,69.08,108.68,4.50,47,4.56,112.2,158,133.0,133,35,207,5.91,3.47,95.00
PT,0.85,17,674.67,683.00,2.092,20490,20490,0,100.0,683.00,64.77,97.47,2.20,31,1.22,127.5,192,182.1,214,22,137,6.23,4.60,88.00
PT,0.60,9,476.24,476.00,1.845,14280,14280,0,100.0,476.00,61.45,76.71,0.05,7,0.00,115.8,171,164.9,190,19,134,7.05,3.90,59.00
VT,0.60,13,476.24,474.27,2.092,14228,14228,0,100.0,474.27,61.46,72.02,0.00,0,0.00,115.4,170,133.0,133,17,120,7.06,3.87,119.00
PT,0.85,12,674.67,670.23,2.089,20107,20107,0,100.0,670.23,64.07,93.94,1.40,29,0.72,118.0,172,177.0,201,26,156,6.00,3.93,35.00
PT,0.85,4,674.67,677.63,2.066,20329,20329,0,100.0,677.63,62.57,95.37,0.89,12,0.00,110.8,162,176.0,191,25,166,6.64,3.60,105.00
PT,0.85,10,674.67,684.30,2.142,20529,20529,0,100.0,684.30,66.18,100.00,2.76,23,2.18,115.5,167,184.4,201,26,185,7.12,3.77,71.00
VT,0.80,4,634.99,637.97,2.360,19139,19139,0,100.0,637.97,63.08,82.84,0.36,6,0.05,116.4,159,132.5,134,25,209,8.36,3.50,79.00
PT,0.80,8,634.99,629.97,2.051,18899,18899,0,100.0,629.97,62.09,87.50,0.45,18,0.00,113.0,164,170.7,189,25,182,7.28,3.67,94.00
PT,0.95,20,754.05,758.17,2.218,22745,22745,0,100.0,758.17,72.89,138.51,9.53,69,7.50,110.7,163,191.2,231,34,173,5.09,3.63,39.00
PT,0.30,2,238.12,235.87,1.491,7076,7076,0,100.0,235.87,61.03,69.47,0.00,0,0.00,108.4,161,145.2,151,9,62,6.89,3.57,30.00
PT,0.85,9,674.67,673.60,2.153,20208,20208,0,100.0,673.60,63.60,98.86,1.99,33,0.41,119.6,166,176.0,199,27,190,7.04,3.77,31.00
VT,0.60,19,476.24,476.63,2.174,14299,14299,0,100.0,476.63,62.55,72.63,0.00,0,0.00,103.1,161,132.0,132,18,112,6.22,3.57,109.00
VT,0.70,16,555.61,559.83,2.199,16795,16795,0,100.0,559.83,61.30,76.78,0.05,3,0.00,113.7,162,132.0,132,22,145,6.59,3.60,36.00
VT,0.80,12,634.99,629.23,2.384,18877,18877,0,100.0,629.23,63.51,82.70,0.18,9,0.33,113.7,160,132.0,132,25,203,8.12,3.53,66.00
VT,0.60,17,476.24,477.57,2.188,14327,14327,0,100.0,477.57,62.62,73.31,0.00,0,0.00,118.4,165,132.0,132,18,118,6.56,3.70,77.00
PT,0.30,12,238.12,239.03,1.537,7171,7171,0,100.0,239.03,61.23,68.85,0.00,0,0.00,108.2,164,146.7,152,9,49,5.44,3.67,50.00
VT,1.05,2,833.42,830.30,2.844,24909,24909,0,100.0,830.30,1316.33,2054.83,988.11,1601,1040.65,109.8,159,132.0,132,39,274,7.03,3.53,33.00
VT,0.80,16,634.99,634.70,2.410,19041,19041,0,100.0,634.70,63.58,83.37,0.34,8,0.37,114.6,164,132.0,132,25,183,7.32,3.67,40.00
PT,0.70,5,555.61,556.77,1.927,16703,16703,0,100.0,556.77,60.30,76.98,0.03,5,0.00,110.6,168,166.2,176,22,143,6.50,3.80,66.00
PT,1.05,15,833.42,837.27,2.206,25118,25118,0,100.0,837.27,1403.32,2564.96,1033.19,1906,1122.21,120.4,180,1242.8,2090,31,236,7.61,4.20,85.00
VT,0.30,12,238.12,239.17,1.577,7175,7175,0,100.0,239.17,62.28,67.86,0.00,0,0.00,110.8,165,132.0,132,10,28,2.80,3.70,100.00
VT,0.75,5,595.30,596.50,2.314,17895,17895,0,100.0,596.50,62.82,81.58,0.12,6,0.00,113.9,161,132.0,132,23,165,7.17,3.60,84.00
PT,0.80,1,634.99,635.70,2.049,19071,19071,0,100.0,635.70,62.32,87.28,0.56,12,0.00,113.9,164,172.1,193,28,163,5.82,3.67,61.00
VT,0.70,8,555.61,555.73,2.256,16672,16672,0,100.0,555.73,62.12,76.29,0.03,4,0.00,114.2,161,132.0,132,22,154,7.00,3.57,40.00
VT,0.80,8,634.99,629.13,2.403,18874,18874,0,100.0,629.13,63.66,83.23,0.34,19,0.42,116.9,167,132.0,132,25,203,8.12,3.77,54.00
PT,0.75,11,595.30,597.57,1.996,17927,17927,0,100.0,597.57,62.43,89.59,0.40,34,0.00,118.5,166,172.4,186,23,162,7.04,3.73,91.00
PT,0.75,17,595.30,593.43,2.022,17803,17803,0,100.0,593.43,62.25,81.57,0.46,15,0.00,113.1,160,171.0,197,23,137,5.96,3.53,87.00
PT,0.85,16,674.67,669.97,2.232,20099,20099,0,100.0,669.97,70.49,221.18,4.84,148,5.03,119.4,164,181.3,265,27,167,6.19,3.67,79.00
VT,0.50,7,396.87,393.30,1.981,11799,11799,0,100.0,393.30,62.45,72.06,0.00,0,0.00,112.3,167,132.3,133,15,103,6.87,3.77,33.00
PT,0.65,15,515.93,513.23,1.920,15397,15397,0,100.0,513.23,60.81,76.71,0.12,8,0.00,104.2,154,164.9,185,20,124,6.20,3.37,77.00
PT,0.95,14,754.05,753.63,2.247,22609,22609,0,100.0,753.63,79.75,151.30,13.71,85,12.63,116.1,165,195.8,248,33,195,5.91,3.70,109.00
PT,0.50,19,396.87,400.50,1.837,12015,12015,0,100.0,400.50,60.96,73.94,0.00,0,0.00,106.3,161,158.7,174,15,97,6.47,3.57,73.00
PT,0.65,16,515.93,524.50,1.993,15735,15735,0,100.0,524.50,61.71,76.30,0.01,2,0.00,111.7,164,166.2,184,20,111,5.55,3.67,59.00
PT,0.60,5,476.24,475.20,1.841,14256,14256,0,100.0,475.20,60.45,75.55,0.02,3,0.00,120.5,167,161.9,176,18,110,6.11,3.77,70.00
VT,0.60,3,476.24,467.93,2.096,14038,14038,0,100.0,467.93,62.04,73.23,0.00,0,0.00,105.0,158,132.0,132,18,108,6.00,3.47,51.00
VT,0.65,1,515.93,510.93,2.209,15328,15328,0,100.0,510.93,62.06,73.21,0.03,4,0.00,112.3,160,132.0,132,20,125,6.25,3.53,39.00
PT,0.75,20,595.30,593.87,2.054,17816,17816,0,100.0,593.87,62.33,82.56,0.21,8,0.00,114.1,160,170.8,186,23,170,7.39,3.53,87.00
VT,0.85,20,674.67,675.23,2.371,20257,20257,0,100.0,675.23,63.46,87.94,0.83,12,0.31,111.3,168,132.0,132,27,205,7.59,3.80,47.00
VT,1.05,18,833.42,845.03,2.801,25351,25351,0,100.0,845.03,1288.16,2156.07,982.68,1656,1035.31,120.5,166,132.0,132,42,272,6.48,3.73,59.00
PT,0.70,16,555.61,551.67,2.002,16550,16550,0,100.0,551.67,62.84,83.78,0.12,4,0.00,113.7,158,169.0,182,22,177,8.05,3.47,59.00
PT,0.70,19,555.61,554.63,1.980,16639,16639,0,100.0,554.63,62.22,78.55,0.00,0,0.00,115.4,165,167.6,180,22,163,7.41,3.70,70.00
VT,0.65,4,515.93,518.07,2.113,15542,15542,0,100.0,518.07,61.09,73.84,0.02,3,0.00,115.2,167,132.0,132,20,125,6.25,3.77,46.00
VT,0.50,8,396.87,395.50,1.940,11865,11865,0,100.0,395.50,61.65,71.44,0.00,0,0.00,113.2,164,132.0,132,15,97,6.47,3.67,65.00
VT,0.30,6,238.12,233.67,1.576,7010,7010,0,100.0,233.67,62.79,68.56,0.00,0,0.00,115.5,167,132.0,132,8,28,3.50,3.80,113.00
PT,0.95,13,754.05,755.53,2.258,22666,22666,0,100.0,755.53,86.82,214.45,18.67,114,18.00,111.6,164,199.7,299,34,207,6.09,3.70,74.00
VT,0.65,17,515.93,525.07,2.241,15752,15752,0,100.0,525.07,62.67,76.02,0.01,2,0.00,118.0,167,132.0,132,20,143,7.15,3.77,66.00
PT,0.70,3,555.61,548.30,1.983,16449,16449,0,100.0,548.30,60.53,75.80,0.05,3,0.00,114.9,166,166.8,180,22,118,5.36,3.73,24.00
PT,0.50,8,396.87,394.03,1.809,11821,11821,0,100.0,394.03,60.82,74.69,0.00,0,0.00,110.8,165,157.9,166,15,102,6.80,3.70,65.00
PT,0.70,12,555.61,564.13,1.912,16924,16924,0,100.0,564.13,61.61,79.71,0.22,26,0.00,112.3,164,167.8,208,22,114,5.18,3.67,69.00
VT,0.85,4,674.67,673.47,2.483,20204,20204,0,100.0,673.47,64.02,86.05,0.97,15,0.69,112.7,159,133.5,134,27,190,7.04,3.50,92.00
VT,0.30,1,238.12,233.50,1.583,7005,7005,0,100.0,233.50,63.06,68.61,0.00,0,0.02,115.1,163,132.0,132,9,43,4.78,3.63,4.00
PT,0.80,17,634.99,639.17,2.093,19175,19175,0,100.0,639.17,61.97,89.31,0.50,19,0.00,124.1,167,173.3,201,25,155,6.20,3.80,104.00
PT,0.60,20,476.24,479.33,1.889,14380,14380,0,100.0,479.33,60.58,75.41,0.00,0,0.00,108.0,161,162.3,175,18,104,5.78,3.57,98.00
PT,0.50,14,396.87,394.23,1.839,11827,11827,0,100.0,394.23,60.85,71.25,0.00,0,0.00,110.9,166,155.6,170,15,81,5.40,3.73,55.00
VT,0.85,16,674.67,672.40,2.483,20172,20172,0,100.0,672.40,64.74,86.71,0.87,20,1.17,115.9,163,132.0,132,27,215,7.96,3.63,29.00
PT,0.95,17,754.05,749.60,2.188,22488,22488,0,100.0,749.60,79.87,146.10,12.45,62,12.65,119.7,183,196.1,241,30,213,7.10,4.30,25.00
PT,0.60,1,476.24,472.47,2.157,14174,14174,0,100.0,472.47,61.45,67.80,0.00,0,0.00,115.4,172,160.7,175,19,64,3.37,3.93,76.00
PT,1.05,18,833.42,828.73,2.472,24862,24862,0,100.0,828.73,385.89,820.72,261.78,628,267.60,115.7,164,449.5,789,32,119,3.72,3.67,34.00
VT,0.80,3,634.99,635.13,2.509,19054,19054,0,100.0,635.13,62.21,78.22,0.20,5,0.00,117.4,170,132.0,132,24,78,3.25,3.87,87.00
PT,0.70,10,555.61,548.80,2.225,16464,16464,0,100.0,548.80,60.30,67.77,0.00,0,0.00,117.1,171,165.3,180,20,72,3.60,3.90,108.00
VT,0.95,11,754.05,760.20,2.715,22806,22806,0,100.0,760.20,71.92,141.12,7.73,60,6.79,120.4,171,132.0,132,29,122,4.21,3.90,101.00
VT,0.70,15,555.61,556.00,2.261,16680,16680,0,100.0,556.00,61.93,78.02,0.05,4,0.00,117.6,166,132.0,132,21,107,5.10,3.73,36.00
PT,0.95,4,754.05,765.00,2.294,22950,22950,0,100.0,765.00,97.27,167.34,24.54,85,26.22,114.2,165,212.2,257,30,169,5.63,3.70,32.00
PT,0.85,6,674.67,672.10,2.179,20163,20163,0,100.0,672.10,63.38,93.43,0.91,21,0.26,112.7,160,176.1,200,25,138,5.52,3.53,79.00
VT,0.65,12,515.93,518.40,2.257,15552,15552,0,100.0,518.40,62.83,76.98,0.00,0,0.00,121.1,166,132.0,132,19,144,7.58,3.73,83.00
PT,0.30,15,238.12,242.13,1.510,7264,7264,0,100.0,242.13,60.76,65.79,0.00,0,0.00,115.1,169,146.9,155,9,32,3.56,3.83,38.00
PT,0.85,20,674.67,685.03,2.159,20551,20551,0,100.0,685.03,64.09,98.05,1.51,23,0.75,113.0,167,180.0,206,26,138,5.31,3.80,27.00
PT,0.30,17,238.12,238.20,1.486,7146,7146,0,100.0,238.20,60.56,66.38,0.00,0,0.00,118.0,168,147.2,155,9,33,3.67,3.80,8.00
VT,0.30,8,238.12,237.13,1.586,7114,7114,0,100.0,237.13,62.69,68.18,0.00,0,0.00,115.7,171,132.0,132,8,16,2.00,3.93,86.00
VT,0.85,11,674.67,674.27,2.471,20228,20228,0,100.0,674.27,64.92,88.68,1.40,25,1.30,107.9,156,132.0,132,26,209,8.04,3.43,112.00
VT,0.75,4,595.30,595.57,2.310,17867,17867,0,100.0,595.57,62.19,79.57,0.12,7,0.00,111.8,156,132.0,132,26,196,7.54,3.40,28.00
VT,0.75,12,595.30,591.73,2.301,17752,17752,0,100.0,591.73,62.34,80.78,0.26,18,0.00,115.1,166,132.0,132,23,163,7.09,3.73,78.00
PT,0.95,1,754.05,741.40,2.184,22242,22242,0,100.0,741.40,69.65,114.03,6.04,34,4.93,114.3,163,188.4,216,34,203,5.97,3.63,45.00
PT,0.75,13,595.30,595.73,1.995,17872,17872,0,100.0,595.73,62.21,80.33,0.12,11,0.00,112.6,165,170.9,185,23,139,6.04,3.70,95.00
VT,0.75,2,595.30,604.03,2.383,18121,18121,0,100.0,604.03,63.46,81.23,0.13,10,0.28,117.4,165,132.0,132,24,197,8.21,3.70,39.00
VT,0.85,15,674.67,672.63,2.434,20179,20179,0,100.0,672.63,63.91,87.28,1.12,19,0.61,106.0,154,132.0,132,27,217,8.04,3.33,41.00
VT,0.30,14,238.12,235.90,1.575,7077,7077,0,100.0,235.90,62.58,68.46,0.00,0,0.00,113.7,166,132.0,132,9,44,4.89,3.73,11.00
VT,0.60,2,476.24,470.67,2.114,14120,14120,0,100.0,470.67,62.18,73.13,0.04,6,0.00,120.5,166,132.0,132,18,116,6.44,3.77,65.00
PT,0.30,9,238.12,238.03,1.469,7141,7141,0,100.0,238.03,61.06,69.86,0.00,0,0.00,113.6,166,146.9,158,9,39,4.33,3.73,46.00
PT,0.65,18,515.93,519.40,1.970,15582,15582,0,100.0,519.40,60.60,77.34,0.01,1,0.00,116.8,165,163.9,176,20,116,5.80,3.73,39.00
VT,0.30,5,238.12,241.70,1.591,7251,7251,0,100.0,241.70,62.40,68.48,0.00,0,0.00,110.1,165,132.0,132,9,40,4.44,3.70,16.00
PT,0.30,16,238.12,241.23,1.456,7237,7237,0,100.0,241.23,60.04,68.90,0.00,0,0.00,115.8,167,147.5,165,9,41,4.56,3.80,46.00
PT,1.05,10,833.42,834.87,2.154,25046,25046,0,100.0,834.87,1386.54,2002.26,1061.51,1500,1104.98,114.5,161,1258.3,1666,34,208,6.12,3.60,45.00
VT,0.95,15,754.05,750.33,2.610,22510,22510,0,100.0,750.33,68.68,101.26,5.24,27,4.27,125.7,189,132.0,132,25,189,7.56,4.50,57.00
VT,0.65,2,515.93,516.70,2.106,15501,15501,0,100.0,516.70,61.12,74.55,0.00,0,0.00,113.1,154,132.0,132,21,119,5.67,3.33,70.00
VT,0.75,1,595.30,590.27,2.315,17708,17708,0,100.0,590.27,62.50,80.27,0.01,1,0.00,122.3,172,132.0,132,22,162,7.36,3.93,73.00
VT,0.50,3,396.87,394.43,1.999,11833,11833,0,100.0,394.43,62.75,71.75,0.00,0,0.00,114.5,169,132.0,132,14,96,6.86,3.83,87.00
VT,0.95,3,754.05,752.87,2.692,22586,22586,0,100.0,752.87,71.06,105.44,6.08,36,6.07,118.6,170,132.0,132,29,205,7.07,3.90,89.00
VT,0.70,7,555.61,556.67,2.291,16700,16700,0,100.0,556.67,62.74,77.55,0.05,4,0.00,114.8,165,132.0,132,21,170,8.10,3.70,98.00
PT,0.65,8,515.93,522.20,1.926,15666,15666,0,100.0,522.20,61.49,77.58,0.00,0,0.00,114.2,168,164.9,181,20,145,7.25,3.80,63.00
VT,0.75,11,595.30,596.90,2.312,17907,17907,0,100.0,596.90,62.71,80.36,0.16,7,0.00,112.3,163,132.0,132,24,193,8.04,3.63,14.00
PT,0.75,12,595.30,601.63,2.049,18049,18049,0,100.0,601.63,63.02,83.13,0.34,11,0.02,118.8,168,175.3,193,24,154,6.42,3.80,26.00
VT,0.60,5,476.24,472.73,2.146,14182,14182,0,100.0,472.73,62.18,72.30,0.00,0,0.00,104.2,165,133.9,134,18,113,6.28,3.70,100.00
PT,0.65,20,515.93,511.83,1.993,15355,15355,0,100.0,511.83,61.49,76.27,0.00,0,0.00,106.5,168,164.6,185,20,121,6.05,3.80,54.00
VT,0.70,20,555.61,553.47,2.333,16604,16604,0,100.0,553.47,63.76,81.01,0.02,2,0.42,116.9,162,132.0,132,22,210,9.55,3.60,47.00
VT,0.85,9,674.67,677.43,2.485,20323,20323,0,100.0,677.43,64.77,88.46,0.87,15,1.20,107.8,159,132.0,132,27,192,7.11,3.50,41.00
PT,1.05,6,833.42,840.80,2.125,25224,25224,0,100.0,840.80,1989.88,3091.60,1504.27,2323,1620.13,128.9,193,1717.7,2509,30,238,7.93,4.63,76.00
VT,0.65,8,515.93,514.90,2.190,15447,15447,0,100.0,514.90,62.06,75.93,0.02,2,0.00,101.4,143,132.0,132,21,150,7.14,2.97,64.00
PT,0.65,10,515.93,512.10,1.955,15363,15363,0,100.0,512.10,61.29,76.63,0.12,13,0.00,126.9,159,165.7,195,19,119,6.26,3.50,75.00
VT,1.05,11,833.42,840.87,2.834,25226,25226,0,100.0,840.87,1243.43,1850.88,952.07,1516,992.59,113.6,162,132.0,132,38,237,6.24,3.60,33.00
VT,0.65,7,515.93,513.83,2.231,15415,15415,0,100.0,513.83,62.87,77.41,0.00,0,0.00,120.1,168,132.0,132,19,144,7.58,3.80,52.00
PT,0.50,10,396.87,398.90,1.828,11967,11967,0,100.0,398.90,60.99,73.94,0.00,0,0.00,115.3,170,157.3,165,15,96,6.40,3.87,23.00
PT,0.30,10,238.12,238.00,1.496,7140,7140,0,100.0,238.00,60.82,68.64,0.00,0,0.00,109.8,157,145.9,153,9,50,5.56,3.43,28.00
VT,0.65,11,515.93,520.23,2.214,15607,15607,0,100.0,520.23,61.81,72.65,0.00,0,0.00,115.1,165,132.0,132,20,117,5.85,3.73,62.00
VT,0.30,20,238.12,243.10,1.594,7293,7293,0,100.0,243.10,62.54,68.76,0.00,0,0.00,110.6,163,132.0,132,9,39,4.33,3.63,34.00
VT,0.60,4,476.24,476.83,2.647,14305,14305,0,100.0,476.83,69.01,182.62,1.14,52,2.87,109.1,154,132.0,132,18,95,5.28,3.37,93.00
PT,1.05,4,833.42,1014.60,3.342,30438,30438,369,100.0,1014.60,10312.05,13414.29,8645.01,9949,10398.70,121.4,166,8987.0,10115,44,427,9.70,3.73,42.00
VT,0.70,1,555.61,560.47,2.298,16814,16814,0,100.0,560.47,63.71,83.84,0.13,10,0.40,119.5,171,132.0,132,23,176,7.65,3.90,27.00
PT,1.05,20,833.42,830.03,2.072,24901,24901,0,100.0,830.03,1757.06,2478.64,1335.68,1898,1406.13,120.4,170,1532.7,2052,32,247,7.72,3.87,115.00
VT,0.30,19,238.12,238.47,1.611,7154,7154,0,100.0,238.47,63.79,69.44,0.00,0,0.19,111.4,168,132.0,132,8,34,4.25,3.80,90.00
PT,0.70,2,555.61,555.10,1.963,16653,16653,0,100.0,555.10,62.11,86.96,0.11,6,0.00,114.8,172,166.3,181,20,126,6.30,3.97,112.00
VT,0.95,8,754.05,754.10,2.705,22623,22623,0,100.0,754.10,76.63,125.06,9.37,51,10.28,119.0,166,132.0,132,29,219,7.55,3.73,104.00
PT,0.65,9,515.93,514.77,1.957,15443,15443,0,100.0,514.77,62.59,81.35,0.00,0,0.00,96.2,133,166.5,179,19,160,8.42,2.63,58.00
VT,0.95,19,754.05,761.73,2.582,22852,22852,0,100.0,761.73,71.28,114.73,6.73,39,6.31,126.0,172,132.0,132,29,200,6.90,3.93,114.00
VT,0.30,3,238.12,235.47,1.583,7064,7064,0,100.0,235.47,62.92,68.88,0.00,0,0.00,109.1,164,132.0,132,8,32,4.00,3.67,82.00
PT,0.50,4,396.87,398.77,1.724,11963,11963,0,100.0,398.77,61.67,77.62,0.00,0,0.00,116.0,167,157.2,168,15,126,8.40,3.80,20.00
VT,0.65,6,515.93,514.97,2.183,15449,15449,0,100.0,514.97,62.82,79.81,0.00,0,0.00,109.7,171,132.0,132,19,157,8.26,3.93,47.00
PT,0.65,17,515.93,512.60,1.915,15378,15378,0,100.0,512.60,62.11,80.24,0.05,6,0.00,128.0,168,166.0,182,19,137,7.21,3.80,83.00
VT,0.80,1,634.99,637.67,2.392,19130,19130,0,100.0,637.67,64.66,87.77,0.41,16,1.06,113.8,168,132.0,132,24,194,8.08,3.80,83.00
VT,0.70,17,555.61,552.43,2.282,16573,16573,0,100.0,552.43,64.17,83.28,0.03,5,0.65,112.7,165,132.0,132,21,187,8.90,3.70,15.00
VT,0.80,18,634.99,633.03,2.194,18991,18991,0,100.0,633.03,61.75,83.32,0.43,20,0.00,116.8,168,132.0,132,24,161,6.71,3.80,29.00
VT,0.30,4,238.12,227.67,1.568,6830,6830,0,100.0,227.67,62.85,67.89,0.00,0,0.00,116.7,170,132.0,132,8,31,3.88,3.87,58.00
PT,0.75,9,595.30,595.30,2.013,17859,17859,0,100.0,595.30,62.62,103.03,0.41,21,0.00,113.1,168,172.6,197,22,149,6.77,3.83,54.00
VT,0.60,18,476.24,481.53,2.136,14446,14446,0,100.0,481.53,62.14,75.13,0.00,0,0.00,119.3,171,132.0,132,18,105,5.83,3.90,14.00
VT,0.70,10,555.61,562.50,2.330,16875,16875,0,100.0,562.50,64.07,82.71,0.24,11,0.60,113.7,166,132.0,132,21,152,7.24,3.73,24.00
