Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Hikari_Mean,Nq_Hikari_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
PT,0.50,7,458.73,452.37,1.963,13571,13571,0,100.0,452.37,58.06,86.82,0.19,26,1.61,94.3,144,158.1,172,15,35.00,2.33,3.27,61.00
PT,0.65,19,596.34,601.97,2.155,18059,18059,0,100.0,601.97,59.30,83.95,0.12,5,2.89,96.5,147,168.2,195,19,45.00,2.37,3.37,13.00
PT,0.85,1,779.83,776.80,2.216,23304,23304,0,100.0,776.80,191.44,506.37,98.50,301,106.38,98.3,146,284.7,458,14,30.00,2.14,3.33,22.00
PT,0.30,18,275.24,273.80,1.666,8214,8214,0,100.0,273.80,55.36,67.77,0.00,0,0.24,101.4,146,145.8,154,5,6.00,1.20,3.33,27.00
VT,0.80,6,733.96,731.77,2.649,21953,21953,0,100.0,731.77,147.42,454.10,58.41,302,67.99,99.1,147,138.0,138,14,36.00,2.57,3.37,29.00
VT,0.80,13,733.96,738.57,2.574,22157,22157,0,100.0,738.57,90.20,294.64,19.36,160,26.37,96.8,145,139.0,139,12,41.00,3.42,3.30,40.00
VT,0.95,18,871.58,868.27,2.709,26048,26048,0,100.0,868.27,2804.03,5250.72,2062.75,3732,2387.33,101.9,140,138.9,139,15,71.00,4.73,3.13,68.00
VT,0.65,18,596.34,597.33,2.474,17920,17920,0,100.0,597.33,57.87,85.36,0.20,20,2.02,94.1,143,138.0,138,8,21.00,2.63,3.23,83.00
VT,0.65,5,596.34,591.40,2.421,17742,17742,0,100.0,591.40,58.15,86.93,0.16,8,2.16,98.5,145,138.0,138,8,23.00,2.88,3.30,29.00
VT,0.70,2,642.22,635.40,2.478,19062,19062,0,100.0,635.40,60.73,105.40,0.86,36,3.96,101.3,147,138.0,138,8,26.00,3.25,3.37,75.00
VT,1.05,12,963.32,958.13,2.731,28744,28744,0,100.0,958.13,5475.46,10766.35,4101.71,6791,5194.01,111.8,154,138.0,138,22,113.00,5.14,3.60,118.00
VT,0.30,18,275.24,274.13,1.685,8224,8224,0,100.0,274.13,54.80,62.60,0.01,1,0.08,96.7,147,138.0,138,3,4.00,1.33,3.37,5.00
PT,0.65,3,596.34,593.73,2.178,17812,17812,0,100.0,593.73,58.80,83.60,0.10,4,2.55,105.9,155,168.4,193,21,51.00,2.43,3.63,17.00
PT,0.95,2,871.58,866.57,2.215,25997,25997,0,100.0,866.57,1491.07,3060.89,1196.25,1656,1244.89,100.3,152,1394.7,1846,13,42.00,3.23,3.53,79.00
VT,0.30,17,275.24,274.97,1.731,8249,8249,0,100.0,274.97,55.18,63.36,0.00,0,0.19,102.0,150,138.2,139,4,8.00,2.00,3.47,87.00
VT,0.85,12,779.83,783.17,2.677,23495,23495,0,100.0,783.17,985.37,1826.55,678.47,1357,729.03,103.3,152,139.0,139,13,36.00,2.77,3.53,24.00
PT,0.80,2,733.96,731.13,2.209,21934,21934,0,100.0,731.13,68.82,146.49,5.17,58,10.47,98.0,149,185.8,227,15,26.00,1.73,3.43,101.00
PT,0.95,6,871.58,872.33,2.182,26170,26170,0,100.0,872.33,2105.86,5349.41,1655.79,2536,1789.47,99.8,148,1859.0,2707,9,38.00,4.22,3.40,37.00
PT,0.30,11,275.24,273.47,1.620,8204,8204,0,100.0,273.47,54.64,63.28,0.01,1,0.04,103.0,150,146.4,160,1,1.00,1.00,3.47,91.00
VT,0.70,3,642.22,647.27,2.580,19418,19418,0,100.0,647.27,58.09,86.28,0.51,15,2.33,98.2,149,138.0,138,6,13.00,2.17,3.43,66.00
PT,0.80,19,733.96,740.10,2.177,22203,22203,0,100.0,740.10,75.75,223.15,9.86,129,15.73,100.4,144,192.7,314,11,27.00,2.45,3.27,85.00
VT,0.80,10,733.96,730.50,2.641,21915,21915,0,100.0,730.50,251.28,727.25,138.50,445,143.75,94.3,144,138.0,138,8,31.00,3.88,3.27,24.00
VT,0.50,11,458.73,466.13,2.212,13984,13984,0,100.0,466.13,55.83,71.57,0.01,1,0.62,99.1,149,138.0,138,4,8.00,2.00,3.43,75.00
PT,0.30,3,275.24,274.53,1.642,8236,8236,0,100.0,274.53,54.74,64.16,0.00,0,0.07,97.8,146,149.7,162,8,9.00,1.13,3.33,93.00
VT,0.85,1,779.83,782.77,2.628,23483,23483,0,100.0,782.77,756.28,1553.26,517.88,938,549.33,102.1,149,138.0,138,9,39.00,4.33,3.43,19.00
VT,0.60,14,550.47,551.83,2.393,16555,16555,0,100.0,551.83,58.00,80.25,0.01,1,1.93,100.9,147,138.0,138,5,17.00,3.40,3.37,61.00
VT,0.95,2,871.58,874.37,2.711,26231,26231,0,100.0,874.37,2583.93,5518.18,1844.63,3812,2211.65,102.7,152,138.0,138,11,89.00,8.09,3.53,44.00
PT,0.85,17,779.83,781.33,2.170,23440,23440,0,100.0,781.33,140.92,336.96,59.48,196,67.53,98.2,147,247.7,382,9,28.00,3.11,3.37,38.00
PT,0.60,9,550.47,555.47,2.146,16664,16664,0,100.0,555.47,59.29,83.09,0.06,9,2.66,97.5,151,164.5,180,8,22.00,2.75,3.50,89.00
VT,0.60,13,550.47,552.77,2.402,16583,16583,0,100.0,552.77,58.99,81.80,0.01,2,2.48,101.2,151,138.0,138,5,14.00,2.80,3.50,63.00
PT,0.85,12,779.83,779.73,2.252,23392,23392,0,100.0,779.73,362.29,851.03,226.84,433,240.00,100.7,149,422.1,592,9,26.00,2.89,3.43,24.00
PT,0.85,4,779.83,786.50,2.226,23595,23595,0,100.0,786.50,788.59,1777.46,560.58,751,577.36,102.5,149,757.8,921,5,12.00,2.40,3.43,104.00
PT,0.85,10,779.83,782.57,2.137,23477,23477,0,100.0,782.57,175.95,440.94,85.38,281,95.05,94.0,138,271.9,459,6,16.00,2.67,3.07,20.00
VT,0.80,4,733.96,734.63,2.566,22039,22039,0,100.0,734.63,284.63,770.16,155.79,488,169.06,96.0,143,138.0,138,9,48.00,5.33,3.23,9.00
PT,0.80,8,733.96,740.50,2.288,22215,22215,0,100.0,740.50,66.01,133.32,3.98,37,8.52,90.0,143,180.5,217,13,35.00,2.69,3.23,12.00
PT,0.95,20,871.58,872.67,2.207,26180,26180,0,100.0,872.67,2189.14,5076.16,1724.78,2548,1862.83,98.2,144,1926.4,2717,7,36.00,5.14,3.27,66.00
PT,0.30,2,275.24,272.60,1.690,8178,8178,0,100.0,272.60,54.29,62.11,0.00,0,0.00,99.8,144,146.2,152,1,1.00,1.00,3.27,83.00
PT,0.85,9,779.83,780.50,2.287,23415,23415,0,100.0,780.50,189.26,425.84,93.34,276,105.18,94.0,135,272.7,440,5,9.00,1.80,2.97,80.00
VT,0.60,19,550.47,543.27,2.356,16298,16298,0,100.0,543.27,57.36,77.57,0.00,0,1.55,95.6,137,138.0,138,5,7.00,1.40,3.03,93.00
VT,0.70,16,642.22,647.50,2.560,19425,19425,0,100.0,647.50,61.74,90.73,0.39,13,4.69,94.1,141,138.0,138,7,24.00,3.43,3.17,24.00
VT,0.80,12,733.96,729.93,2.633,21898,21898,0,100.0,729.93,88.78,246.96,18.24,133,25.02,93.2,139,138.0,138,8,23.00,2.88,3.10,64.00
VT,0.60,17,550.47,547.83,2.397,16435,16435,0,100.0,547.83,57.46,80.15,0.10,13,1.62,99.8,143,138.0,138,6,21.00,3.50,3.23,6.00
PT,0.30,12,275.24,272.90,1.657,8187,8187,0,100.0,272.90,54.97,65.11,0.00,0,0.13,94.4,141,149.4,159,9,11.00,1.22,3.17,29.00
VT,1.05,2,963.32,966.57,2.741,28997,28997,0,100.0,966.57,5802.14,11618.78,4356.87,7167,5555.47,112.4,146,138.0,138,22,132.00,6.00,3.33,60.00
VT,0.80,16,733.96,728.97,2.678,21869,21869,0,100.0,728.97,107.14,250.76,30.68,148,38.38,100.9,152,138.0,138,12,27.00,2.25,3.53,32.00
PT,0.70,5,642.22,638.60,2.173,19158,19158,0,100.0,638.60,59.93,88.42,0.18,6,3.47,93.7,147,172.7,194,23,46.00,2.00,3.37,50.00
PT,1.05,15,963.32,959.37,2.103,28781,28781,0,100.0,959.37,4552.36,9696.95,3698.68,5464,4315.10,109.6,151,3924.0,5633,13,44.00,3.38,3.50,96.00
VT,0.30,12,275.24,279.10,1.772,8373,8373,0,100.0,279.10,55.49,65.82,0.00,0,0.28,103.0,151,138.0,138,4,7.00,1.75,3.50,89.00
VT,0.75,5,688.09,694.57,2.511,20837,20837,0,100.0,694.57,64.28,109.03,2.16,41,6.79,101.6,152,138.0,138,11,30.00,2.73,3.53,26.00
PT,0.80,1,733.96,737.47,2.167,22124,22124,0,100.0,737.47,86.95,214.83,16.69,103,23.93,101.9,147,198.6,293,12,44.00,3.67,3.37,48.00
VT,0.70,8,642.22,638.60,2.512,19158,19158,0,100.0,638.60,62.43,108.19,1.29,38,5.07,97.9,145,138.0,138,6,23.00,3.83,3.30,62.00
VT,0.80,8,733.96,734.40,2.665,22032,22032,0,100.0,734.40,90.05,301.80,19.39,172,26.11,102.8,150,138.0,138,7,25.00,3.57,3.47,104.00
PT,0.75,11,688.09,690.43,2.212,20713,20713,0,100.0,690.43,73.59,169.44,7.03,70,13.18,99.1,150,188.8,261,10,19.00,1.90,3.47,106.00
PT,0.75,17,688.09,692.30,2.221,20769,20769,0,100.0,692.30,66.57,152.98,3.43,53,8.36,97.7,151,178.6,232,10,22.00,2.20,3.50,44.00
PT,0.85,16,779.83,780.03,2.216,23401,23401,0,100.0,780.03,234.07,670.17,127.90,416,140.07,96.1,143,314.4,605,8,32.00,4.00,3.23,68.00
VT,0.50,7,458.73,456.87,2.198,13706,13706,0,100.0,456.87,56.87,73.53,0.01,1,1.08,96.3,147,138.0,138,4,9.00,2.25,3.37,65.00
PT,0.65,15,596.34,587.00,2.233,17610,17610,0,100.0,587.00,56.93,81.07,0.14,13,1.43,98.9,151,168.4,191,10,29.00,2.90,3.50,101.00
PT,0.95,14,871.58,870.03,2.160,26101,26101,0,100.0,870.03,1478.91,3636.56,1173.62,1741,1239.28,104.0,150,1383.1,1900,7,25.00,3.57,3.47,19.00
PT,0.50,19,458.73,458.07,2.039,13742,13742,0,100.0,458.07,55.78,73.96,0.00,0,0.59,103.5,151,157.9,177,3,5.00,1.67,3.50,21.00
PT,0.65,16,596.34,594.63,2.143,17839,17839,0,100.0,594.63,59.77,86.27,0.16,7,3.13,94.7,148,168.7,188,5,8.00,1.60,3.40,31.00
PT,0.60,5,550.47,551.97,2.126,16559,16559,0,100.0,551.97,57.82,83.35,0.10,6,1.83,101.8,151,163.8,187,11,32.00,2.91,3.50,14.00
VT,0.60,3,550.47,547.07,2.394,16412,16412,0,100.0,547.07,57.36,81.96,0.05,6,1.56,99.3,147,138.0,138,5,23.00,4.60,3.37,60.00
VT,0.65,1,596.34,592.17,2.421,17765,17765,0,100.0,592.17,57.52,86.19,0.16,16,1.79,103.3,149,138.0,138,6,13.00,2.17,3.43,4.00
PT,0.75,20,688.09,690.70,2.222,20721,20721,0,100.0,690.70,64.83,118.66,1.92,29,7.14,103.7,151,182.1,210,12,27.00,2.25,3.50,4.00
VT,0.85,20,779.83,771.57,2.682,23147,23147,0,100.0,771.57,300.17,685.20,175.84,511,189.55,99.8,150,138.0,138,9,25.00,2.78,3.47,4.00
VT,1.05,18,963.32,967.13,2.859,29014,29014,0,100.0,967.13,5869.95,10456.44,4398.79,7364,5624.32,117.7,150,138.0,138,20,118.00,5.90,3.47,57.00
PT,0.70,16,642.22,637.77,2.166,19133,19133,0,100.0,637.77,62.48,103.00,0.74,21,5.09,94.1,137,176.9,215,21,57.00,2.71,3.03,38.00
PT,0.70,19,642.22,640.57,2.154,19217,19217,0,100.0,640.57,62.16,98.55,0.45,22,4.91,97.1,145,175.1,197,17,32.00,1.88,3.30,52.00
VT,0.65,4,596.34,589.03,2.430,17671,17671,0,100.0,589.03,56.79,81.55,0.14,13,1.35,99.8,147,138.0,138,10,15.00,1.50,3.37,20.00
VT,0.50,8,458.73,458.10,2.237,13743,13743,0,100.0,458.10,57.65,77.49,0.00,0,1.44,99.7,143,138.0,138,8,23.00,2.88,3.23,87.00
VT,0.30,6,275.24,275.13,1.698,8254,8254,0,100.0,275.13,55.10,65.11,0.00,0,0.17,100.7,148,138.0,138,4,9.00,2.25,3.40,95.00
PT,0.95,13,871.58,871.37,2.175,26141,26141,0,100.0,871.37,1685.73,3571.46,1347.82,1938,1421.40,96.9,147,1550.6,2123,13,29.00,2.23,3.37,89.00
VT,0.65,17,596.34,596.17,2.505,17885,17885,0,100.0,596.17,58.37,87.97,0.22,19,2.31,98.3,147,138.6,139,10,36.00,3.60,3.37,36.00
PT,0.70,3,642.22,647.47,2.299,19424,19424,0,100.0,647.47,84.54,445.19,15.35,303,19.45,101.1,145,201.2,479,10,31.00,3.10,3.30,93.00
PT,0.50,8,458.73,462.03,2.036,13861,13861,0,100.0,462.03,56.62,79.99,0.00,0,0.98,97.3,147,157.7,170,8,21.00,2.63,3.37,22.00
PT,0.70,12,642.22,641.63,2.306,19249,19249,0,100.0,641.63,57.18,81.03,0.10,6,1.72,101.8,147,169.5,186,12,33.00,2.75,3.33,47.00
VT,0.85,4,779.83,775.83,2.690,23275,23275,0,100.0,775.83,346.30,668.43,214.78,453,226.39,99.1,145,138.0,138,9,33.00,3.67,3.27,29.00
VT,0.30,1,275.24,278.83,1.712,8365,8365,0,100.0,278.83,54.84,63.84,0.00,0,0.10,102.9,149,138.0,138,2,4.00,2.00,3.40,94.00
PT,0.80,17,733.96,733.93,2.235,22018,22018,0,100.0,733.93,75.05,255.07,10.24,180,15.08,99.4,148,191.7,341,9,23.00,2.56,3.37,87.00
PT,0.60,20,550.47,548.00,2.139,16440,16440,0,100.0,548.00,56.65,82.85,0.18,16,1.18,101.5,147,163.8,191,9,17.00,1.89,3.33,27.00
PT,0.50,14,458.73,459.53,2.056,13786,13786,0,100.0,459.53,55.36,72.34,0.00,0,0.39,99.3,145,158.0,170,10,14.00,1.40,3.27,16.00
VT,0.85,16,779.83,779.10,2.664,23373,23373,0,100.0,779.10,350.47,704.69,219.89,474,230.59,100.9,148,138.0,138,9,29.00,3.22,3.37,24.00
PT,0.95,17,871.58,864.63,2.185,25939,25939,0,100.0,864.63,2137.10,5294.88,1662.53,2664,1800.69,102.7,148,1869.9,2847,7,30.00,4.29,3.37,79.00
PT,0.60,1,550.47,554.43,2.120,16633,16633,0,100.0,554.43,58.84,82.96,0.10,10,2.41,94.9,149,167.9,201,3,8.00,2.67,3.40,70.00
PT,1.05,18,963.32,965.10,2.053,28953,28953,0,100.0,965.10,4090.26,8662.15,3348.76,5216,3894.92,97.3,148,3558.7,5391,7,51.00,7.29,3.37,16.00
VT,0.80,3,733.96,726.57,2.537,21797,21797,0,100.0,726.57,115.20,339.35,35.95,208,44.10,94.8,144,138.0,138,8,18.00,2.25,3.23,36.00
PT,0.70,10,642.22,640.00,2.200,19200,19200,0,100.0,640.00,58.44,84.87,0.27,12,2.52,93.3,139,172.4,190,11,21.00,1.91,3.07,31.00
VT,0.95,11,871.58,876.37,2.600,26291,26291,0,100.0,876.37,3110.75,6147.12,2410.49,3574,2678.40,100.7,138,138.0,138,13,61.00,4.69,3.03,51.00
VT,0.70,15,642.22,639.90,2.553,19197,19197,0,100.0,639.90,57.43,84.47,0.08,6,1.88,94.1,142,138.0,138,9,17.00,1.89,3.17,17.00
PT,0.95,4,871.58,876.07,2.109,26282,26282,0,100.0,876.07,2258.02,5280.39,1812.03,2455,1930.43,99.0,144,2016.9,2646,11,29.00,2.64,3.23,101.00
PT,0.85,6,779.83,770.40,2.249,23112,23112,0,100.0,770.40,100.37,226.99,28.85,133,35.34,102.4,147,215.4,321,9,13.00,1.44,3.33,29.00
VT,0.65,12,596.34,600.07,2.486,18002,18002,0,100.0,600.07,57.32,80.42,0.00,0,1.69,99.3,147,138.5,139,6,17.00,2.83,3.33,35.00
PT,0.30,15,275.24,277.83,1.662,8335,8335,0,100.0,277.83,55.51,67.90,0.00,0,0.28,97.8,147,150.9,160,12,28.00,2.33,3.33,38.00
PT,0.85,20,779.83,777.00,2.212,23310,23310,0,100.0,777.00,185.66,438.18,92.97,251,101.91,94.6,142,283.4,457,9,25.00,2.78,3.17,19.00
PT,0.30,17,275.24,276.20,1.691,8286,8286,0,100.0,276.20,54.45,62.48,0.00,0,0.00,106.9,149,147.6,156,2,5.00,2.50,3.40,100.00
VT,0.30,8,275.24,276.87,1.740,8306,8306,0,100.0,276.87,55.15,64.61,0.00,0,0.18,101.1,147,138.0,138,2,4.00,2.00,3.33,92.00
VT,0.85,11,779.83,778.27,2.648,23348,23348,0,100.0,778.27,574.25,1034.39,386.47,762,404.51,93.6,145,138.0,138,9,23.00,2.56,3.27,30.00
VT,0.75,4,688.09,687.77,2.618,20633,20633,0,100.0,687.77,80.03,225.20,9.51,97,17.56,104.0,148,138.0,138,7,21.00,3.00,3.37,61.00
VT,0.75,12,688.09,683.20,2.554,20496,20496,0,100.0,683.20,58.43,95.82,0.67,23,2.69,97.7,145,138.0,138,7,16.00,2.29,3.27,35.00
PT,0.95,1,871.58,872.40,2.126,26172,26172,0,100.0,872.40,2240.39,4801.49,1724.52,2795,1906.98,100.4,147,1927.6,2891,8,26.00,3.25,3.33,83.00
PT,0.75,13,688.09,692.33,2.225,20770,20770,0,100.0,692.33,59.85,98.19,1.20,22,3.70,96.7,147,170.7,193,4,5.00,1.25,3.33,65.00
VT,0.75,2,688.09,685.93,2.497,20578,20578,0,100.0,685.93,65.64,196.07,3.49,94,7.65,100.0,147,138.0,138,7,15.00,2.14,3.33,43.00
VT,0.85,15,779.83,777.60,2.723,23328,23328,0,100.0,777.60,1283.77,2121.65,894.69,1387,955.88,98.2,144,138.0,138,9,36.00,4.00,3.23,66.00
VT,0.30,14,275.24,273.93,1.732,8218,8218,0,100.0,273.93,55.03,64.95,0.01,1,0.15,99.1,146,138.0,138,2,3.00,1.50,3.30,92.00
VT,0.60,2,550.47,556.57,2.411,16697,16697,0,100.0,556.57,56.68,79.23,0.00,0,1.21,96.4,143,139.0,139,5,9.00,1.80,3.20,87.00
PT,0.30,9,275.24,268.40,1.675,8052,8052,0,100.0,268.40,54.61,63.08,0.00,0,0.03,98.0,147,150.3,161,9,11.00,1.22,3.33,30.00
PT,0.65,18,596.34,604.63,2.170,18139,18139,0,100.0,604.63,59.69,87.54,0.19,10,3.14,98.7,147,168.1,185,12,33.00,2.75,3.33,1.00
VT,0.30,5,275.24,273.30,1.695,8199,8199,0,100.0,273.30,54.47,62.04,0.00,0,0.00,100.9,149,138.0,138,2,3.00,1.50,3.40,90.00
PT,0.30,16,275.24,279.30,1.669,8379,8379,0,100.0,279.30,54.66,64.68,0.00,0,0.04,96.0,147,149.7,156,8,12.00,1.50,3.33,82.00
PT,1.05,10,963.32,960.23,2.003,28807,28807,0,100.0,960.23,4756.00,9820.77,3939.07,5669,4514.53,98.1,143,4156.8,5803,8,44.00,5.50,3.20,72.00
VT,0.95,15,871.58,869.93,2.710,26098,26098,0,100.0,869.93,2651.54,5108.04,1945.17,3760,2259.25,97.3,136,138.0,138,12,57.00,4.75,2.97,37.00
VT,0.65,2,596.34,604.57,2.456,18137,18137,0,100.0,604.57,59.55,88.70,0.29,24,3.06,90.8,134,138.0,138,8,20.00,2.50,2.90,75.00
VT,0.75,1,688.09,681.57,2.563,20447,20447,0,100.0,681.57,62.49,159.32,2.37,71,5.44,92.7,141,138.0,138,11,38.00,3.45,3.13,45.00
VT,0.50,3,458.73,462.40,2.147,13872,13872,0,100.0,462.40,56.62,76.37,0.01,1,0.98,94.0,137,138.0,138,4,10.00,2.50,3.00,87.00
VT,0.95,3,871.58,875.70,2.752,26271,26271,0,100.0,875.70,3569.41,6401.67,2577.01,4743,3078.01,101.2,140,138.8,139,15,111.00,7.40,3.10,104.00
VT,0.70,7,642.22,641.70,2.502,19251,19251,0,100.0,641.70,58.29,93.77,0.61,26,2.43,96.5,143,139.0,139,11,32.00,2.91,3.20,32.00
PT,0.65,8,596.34,600.77,2.224,18023,18023,0,100.0,600.77,57.01,79.78,0.06,6,1.51,95.6,148,171.8,190,18,28.00,1.56,3.37,11.00
VT,0.75,11,688.09,696.00,2.606,20880,20880,0,100.0,696.00,60.72,131.17,1.63,51,4.33,95.3,144,138.0,138,9,17.00,1.89,3.27,48.00
PT,0.75,12,688.09,694.33,2.227,20830,20830,0,100.0,694.33,65.61,181.04,3.50,66,7.71,98.6,145,180.4,255,13,27.00,2.08,3.30,92.00
VT,0.60,5,550.47,551.33,2.400,16540,16540,0,100.0,551.33,57.11,78.14,0.01,1,1.44,98.3,145,138.0,138,5,9.00,1.80,3.30,79.00
PT,0.65,20,596.34,593.07,2.165,17792,17792,0,100.0,593.07,59.36,88.52,0.18,14,2.88,100.6,147,171.6,196,12,19.00,1.58,3.37,87.00
VT,0.70,20,642.22,641.77,2.531,19253,19253,0,100.0,641.77,60.43,91.88,0.18,11,3.80,97.7,147,138.0,138,6,15.00,2.50,3.37,86.00
VT,0.85,9,779.83,775.13,2.697,23254,23254,0,100.0,775.13,819.08,1214.90,580.84,867,592.65,93.4,135,138.0,138,9,30.00,3.33,2.97,54.00
PT,1.05,6,963.32,964.73,2.084,28942,28942,0,100.0,964.73,4160.40,8932.53,3354.78,5341,3961.10,98.8,147,3572.0,5455,8,46.00,5.75,3.37,65.00
VT,0.65,8,596.34,593.87,2.488,17816,17816,0,100.0,593.87,56.43,81.93,0.02,2,1.15,92.7,141,138.0,138,6,11.00,1.83,3.17,30.00
PT,0.65,10,596.34,604.00,2.118,18120,18120,0,100.0,604.00,59.11,84.68,0.15,12,2.78,90.8,139,168.9,184,6,11.00,1.83,3.10,56.00
VT,1.05,11,963.32,951.87,2.813,28556,28556,0,100.0,951.87,6114.75,11075.09,4486.53,7490,5768.55,113.9,161,138.0,138,20,144.00,7.20,3.83,124.00
VT,0.65,7,596.34,593.30,2.380,17799,17799,0,100.0,593.30,59.71,86.67,0.23,11,3.09,91.2,145,138.0,138,10,21.00,2.10,3.30,70.00
PT,0.50,10,458.73,464.43,2.055,13933,13933,0,100.0,464.43,56.74,75.42,0.00,0,1.04,96.6,147,161.3,187,19,39.00,2.05,3.37,53.00
PT,0.30,10,275.24,275.80,1.662,8274,8274,0,100.0,275.80,54.09,62.42,0.00,0,0.00,98.9,143,149.3,158,14,23.00,1.64,3.23,29.00
VT,0.65,11,596.34,596.77,2.465,17903,17903,0,100.0,596.77,57.95,83.35,0.10,9,2.06,97.5,143,138.0,138,12,37.00,3.08,3.23,52.00
VT,0.30,20,275.24,276.50,1.691,8295,8295,0,100.0,276.50,54.85,62.82,0.00,0,0.10,99.0,143,138.0,138,5,6.00,1.20,3.23,7.00
VT,0.60,4,550.47,556.77,2.310,16703,16703,0,100.0,556.77,59.09,86.31,0.06,9,2.56,97.5,141,138.0,138,10,21.00,2.10,3.17,12.00
PT,1.05,4,963.32,956.47,2.048,28694,28694,0,100.0,956.47,4039.67,8800.46,3345.31,4828,3811.68,95.7,138,3569.9,5009,13,60.00,4.62,3.07,13.00
VT,0.70,1,642.22,643.93,2.512,19318,19318,0,100.0,643.93,61.87,100.55,0.60,14,4.74,98.5,142,139.0,139,9,44.00,4.89,3.20,16.00
PT,1.05,20,963.32,961.33,2.051,28840,28840,0,100.0,961.33,3828.48,8113.99,3097.58,4996,3628.05,99.2,141,3321.6,5178,12,48.00,4.00,3.17,5.00
VT,0.30,19,275.24,273.37,1.692,8201,8201,0,100.0,273.37,54.63,63.28,0.00,0,0.04,94.4,139,138.0,138,5,13.00,2.60,3.10,15.00
PT,0.70,2,642.22,636.40,2.176,19092,19092,0,100.0,636.40,59.75,88.46,0.49,15,3.34,92.9,139,174.8,199,5,7.00,1.40,3.10,69.00
VT,0.95,8,871.58,870.50,2.761,26115,26115,0,100.0,870.50,3235.85,5747.19,2384.08,4255,2769.37,99.4,140,138.0,138,18,103.00,5.72,3.13,64.00
PT,0.65,9,596.34,592.53,2.212,17776,17776,0,100.0,592.53,58.42,81.56,0.01,1,2.32,96.7,142,168.6,184,20,37.00,1.85,3.20,8.00
VT,0.95,19,871.58,868.60,2.779,26058,26058,0,100.0,868.60,3360.61,6575.41,2463.23,4171,2871.69,105.1,144,138.0,138,23,97.00,4.22,3.27,63.00
VT,0.30,3,275.24,279.63,1.695,8389,8389,0,100.0,279.63,55.06,65.68,0.00,0,0.16,88.2,133,138.0,138,5,5.00,1.00,2.90,33.00
PT,0.50,4,458.73,458.63,2.022,13759,13759,0,100.0,458.63,57.21,80.02,0.00,0,1.25,96.6,141,160.6,178,19,34.00,1.79,3.17,83.00
VT,0.65,6,596.34,591.10,2.514,17733,17733,0,100.0,591.10,56.82,79.25,0.12,7,1.37,96.6,140,138.0,138,12,18.00,1.50,3.13,50.00
PT,0.65,17,596.34,604.10,2.208,18123,18123,0,100.0,604.10,58.75,86.20,0.14,7,2.57,91.1,137,168.1,191,13,23.00,1.77,3.03,52.00
VT,0.80,1,733.96,734.27,2.654,22028,22028,0,100.0,734.27,237.97,580.99,121.12,402,134.71,98.3,143,139.0,139,10,38.00,3.80,3.23,97.00
VT,0.70,17,642.22,643.33,2.486,19300,19300,0,100.0,643.33,59.10,90.02,0.37,16,2.96,94.2,141,138.2,139,7,25.00,3.57,3.17,14.00
