Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Hikari_Mean,Nq_Hikari_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
VT,0.30,18,226.28,228.83,1.599,6865,6865,0,100.0,228.83,56.45,68.31,0.00,0,0.00,106.0,157,138.0,138,6,13.00,2.17,3.40,51.00
PT,0.65,3,490.28,490.10,2.046,14703,14703,0,100.0,490.10,61.10,88.75,0.02,3,0.00,112.7,170,165.1,187,18,34.00,1.89,3.83,32.00
PT,0.95,2,716.56,710.77,2.206,21323,21323,0,100.0,710.77,65.84,120.47,1.90,35,0.00,109.6,172,179.6,200,21,50.00,2.38,3.90,102.00
VT,0.30,17,226.28,222.20,1.575,6666,6666,0,100.0,222.20,56.81,70.38,0.00,0,0.00,110.7,167,138.0,138,6,18.00,3.00,3.73,33.00
VT,0.85,12,641.13,643.97,2.498,19319,19319,0,100.0,643.97,76.74,243.09,7.76,112,6.73,114.0,162,138.0,138,18,58.00,3.22,3.57,34.00
PT,0.80,2,603.42,602.10,2.170,18063,18063,0,100.0,602.10,61.62,88.17,0.08,6,0.00,111.6,168,168.8,186,20,50.00,2.50,3.77,108.00
PT,0.95,6,716.56,705.87,2.213,21176,21176,0,100.0,705.87,65.49,123.46,2.31,41,0.00,114.0,170,178.3,229,22,57.00,2.59,3.83,56.00
PT,0.30,11,226.28,226.50,1.501,6795,6795,0,100.0,226.50,56.34,70.10,0.00,0,0.00,114.9,171,146.8,154,7,10.00,1.43,3.87,15.00
VT,0.70,3,527.99,531.97,2.351,15959,15959,0,100.0,531.97,62.12,90.21,0.08,6,0.00,113.6,170,138.0,138,14,33.00,2.36,3.83,102.00
PT,0.80,19,603.42,603.50,2.223,18105,18105,0,100.0,603.50,63.56,99.70,0.73,17,0.00,105.4,166,174.8,198,19,46.00,2.42,3.70,80.00
VT,0.80,10,603.42,600.33,2.482,18010,18010,0,100.0,600.33,64.22,93.94,0.38,16,0.00,115.3,171,138.0,138,16,45.00,2.81,3.87,114.00
VT,0.50,11,377.14,378.00,2.021,11340,11340,0,100.0,378.00,59.04,83.69,0.00,0,0.00,116.1,168,138.0,138,10,38.00,3.80,3.77,78.00
PT,0.30,3,226.28,227.07,1.540,6812,6812,0,100.0,227.07,56.05,67.32,0.00,0,0.00,115.8,171,148.5,158,8,17.00,2.13,3.87,13.00
VT,0.85,1,641.13,649.80,2.437,19494,19494,0,100.0,649.80,67.16,128.58,1.55,35,0.57,115.1,173,138.0,138,18,43.00,2.39,3.93,44.00
VT,0.60,14,452.56,453.63,2.197,13609,13609,0,100.0,453.63,60.16,88.76,0.00,0,0.00,113.3,171,138.0,138,12,27.00,2.25,3.87,98.00
VT,0.95,2,716.56,716.17,2.571,21485,21485,0,100.0,716.17,94.16,301.28,20.30,152,19.96,112.0,171,138.0,138,20,65.00,3.25,3.87,100.00
PT,0.85,17,641.13,631.60,2.189,18948,18948,0,100.0,631.60,64.08,105.47,0.66,32,0.00,118.2,172,177.9,220,21,40.00,1.90,3.90,56.00
PT,0.60,9,452.56,455.10,1.975,13653,13653,0,100.0,455.10,60.95,87.42,0.00,0,0.00,104.7,164,159.2,178,15,41.00,2.73,3.63,5.00
VT,0.60,13,452.56,451.93,2.223,13558,13558,0,100.0,451.93,60.49,87.69,0.01,2,0.00,111.5,164,138.0,138,12,41.00,3.42,3.63,80.00
PT,0.85,12,641.13,637.07,2.189,19112,19112,0,100.0,637.07,66.16,151.28,2.37,61,0.00,108.5,172,175.3,240,20,48.00,2.40,3.90,66.00
PT,0.85,4,641.13,641.07,2.264,19232,19232,0,100.0,641.07,64.68,106.35,0.95,17,0.00,107.3,170,173.3,197,20,42.00,2.10,3.83,58.00
PT,0.85,10,641.13,633.33,2.116,19000,19000,0,100.0,633.33,62.85,104.88,0.54,15,0.00,118.6,167,170.0,188,20,61.00,3.05,3.73,14.00
VT,0.80,4,603.42,592.30,2.446,17769,17769,0,100.0,592.30,66.13,135.63,0.62,31,0.00,116.9,170,138.3,139,17,67.00,3.94,3.87,28.00
PT,0.80,8,603.42,604.57,2.212,18137,18137,0,100.0,604.57,65.52,105.57,0.61,18,0.00,108.3,163,173.6,201,19,38.00,2.00,3.60,60.00
PT,0.95,20,716.56,720.93,2.285,21628,21628,0,100.0,720.93,70.92,166.86,5.27,65,3.34,112.3,169,181.5,250,22,54.00,2.45,3.80,48.00
PT,0.30,2,226.28,226.43,1.501,6793,6793,0,100.0,226.43,56.07,72.30,0.00,0,0.00,115.0,168,144.9,157,7,11.00,1.57,3.77,93.00
PT,0.85,9,641.13,640.90,2.182,19227,19227,0,100.0,640.90,74.53,266.91,6.95,131,5.28,113.0,166,180.0,288,20,38.00,1.90,3.70,60.00
VT,0.60,19,452.56,460.13,2.190,13804,13804,0,100.0,460.13,59.67,87.83,0.01,1,0.00,111.1,163,138.0,138,13,37.00,2.85,3.60,64.00
VT,0.70,16,527.99,529.87,2.363,15896,15896,0,100.0,529.87,63.39,93.81,0.01,1,0.00,113.0,165,138.0,138,15,62.00,4.13,3.67,70.00
VT,0.80,12,603.42,602.27,2.461,18068,18068,0,100.0,602.27,64.46,99.45,0.48,22,0.00,116.0,164,138.0,138,18,43.00,2.39,3.63,10.00
VT,0.60,17,452.56,448.33,2.176,13450,13450,0,100.0,448.33,62.23,90.83,0.03,4,0.00,107.3,164,138.0,138,13,41.00,3.15,3.63,38.00
PT,0.30,12,226.28,228.70,1.537,6861,6861,0,100.0,228.70,57.09,75.78,0.00,0,0.00,107.9,155,148.3,158,8,12.00,1.50,3.33,31.00
VT,1.05,2,791.98,791.33,2.657,23740,23740,0,100.0,791.33,109.96,323.32,33.86,202,34.56,107.3,158,138.0,138,24,73.00,3.04,3.43,85.00
VT,0.80,16,603.42,613.30,2.514,18399,18399,0,100.0,613.30,66.57,110.66,1.19,47,0.17,106.0,162,138.0,138,18,72.00,4.00,3.57,26.00
PT,0.70,5,527.99,531.70,2.125,15951,15951,0,100.0,531.70,63.91,94.78,0.08,5,0.00,107.6,166,169.3,193,18,50.00,2.78,3.70,28.00
PT,1.05,15,791.98,783.53,2.323,23506,23506,0,100.0,783.53,90.71,265.46,21.97,155,19.13,114.3,163,205.5,321,23,55.00,2.39,3.60,24.00
VT,0.30,12,226.28,223.43,1.587,6703,6703,0,100.0,223.43,56.01,68.73,0.00,0,0.00,113.5,164,138.0,138,6,11.00,1.83,3.63,69.00
VT,0.75,5,565.70,576.10,2.468,17283,17283,0,100.0,576.10,63.40,98.12,0.14,12,0.00,109.9,161,138.0,138,17,44.00,2.59,3.53,4.00
PT,0.80,1,603.42,602.17,2.164,18065,18065,0,100.0,602.17,64.01,94.19,0.33,14,0.00,111.0,166,173.3,193,21,40.00,1.90,3.70,12.00
VT,0.70,8,527.99,534.50,2.345,16035,16035,0,100.0,534.50,62.63,93.79,0.05,6,0.00,109.1,160,138.0,138,15,47.00,3.13,3.50,92.00
VT,0.80,8,603.42,596.43,2.377,17893,17893,0,100.0,596.43,63.74,94.21,0.45,26,0.00,104.5,161,138.0,138,17,56.00,3.29,3.53,82.00
PT,0.75,11,565.70,564.37,2.142,16931,16931,0,100.0,564.37,63.30,93.10,0.26,9,0.00,103.7,158,167.5,183,19,48.00,2.53,3.43,102.00
PT,0.75,17,565.70,568.37,2.137,17051,17051,0,100.0,568.37,62.97,91.52,0.26,17,0.00,107.5,160,170.7,196,19,43.00,2.26,3.50,66.00
PT,0.85,16,641.13,643.63,2.195,19309,19309,0,100.0,643.63,63.66,98.42,0.92,14,0.00,113.8,164,172.6,189,20,42.00,2.10,3.63,80.00
VT,0.50,7,377.14,383.40,2.030,11502,11502,0,100.0,383.40,59.77,85.30,0.00,0,0.00,109.7,164,138.0,138,11,26.00,2.36,3.63,34.00
PT,0.65,15,490.28,489.70,2.085,14691,14691,0,100.0,489.70,61.44,90.81,0.05,7,0.00,113.8,164,166.3,181,18,35.00,1.94,3.63,56.00
PT,0.95,14,716.56,711.93,2.309,21358,21358,0,100.0,711.93,65.24,119.49,1.56,31,0.00,106.0,158,176.6,196,22,52.00,2.36,3.43,46.00
PT,0.50,19,377.14,375.23,1.889,11257,11257,0,100.0,375.23,61.00,87.25,0.00,0,0.00,112.3,166,156.3,178,12,29.00,2.42,3.70,15.00
PT,0.65,16,490.28,492.37,1.997,14771,14771,0,100.0,492.37,60.42,85.26,0.00,0,0.00,102.4,164,162.4,184,18,44.00,2.44,3.63,74.00
PT,0.60,5,452.56,453.30,2.058,13599,13599,0,100.0,453.30,60.26,87.87,0.00,0,0.00,109.1,166,157.3,177,15,33.00,2.20,3.70,44.00
VT,0.60,3,452.56,451.83,2.242,13555,13555,0,100.0,451.83,60.41,88.39,0.01,1,0.00,109.6,164,138.0,138,13,40.00,3.08,3.63,40.00
VT,0.65,1,490.28,499.17,2.335,14975,14975,0,100.0,499.17,60.10,90.71,0.00,0,0.00,107.8,162,138.0,138,14,31.00,2.21,3.57,64.00
PT,0.75,20,565.70,568.20,2.139,17046,17046,0,100.0,568.20,63.18,91.23,0.14,12,0.00,104.7,156,171.8,200,20,38.00,1.90,3.37,86.00
VT,0.85,20,641.13,647.50,2.571,19425,19425,0,100.0,647.50,82.44,260.09,10.35,119,10.46,94.5,141,138.0,138,19,50.00,2.63,2.87,54.00
VT,1.05,18,791.98,789.40,2.534,23682,23682,0,100.0,789.40,98.90,281.79,28.02,169,25.75,114.2,165,138.0,138,24,57.00,2.38,3.67,101.00
PT,0.70,16,527.99,529.00,2.043,15870,15870,0,100.0,529.00,61.82,88.85,0.06,8,0.00,109.5,152,168.5,193,18,45.00,2.50,3.23,86.00
PT,0.70,19,527.99,529.40,2.100,15882,15882,0,100.0,529.40,61.94,89.50,0.01,1,0.00,102.6,150,166.4,182,19,42.00,2.21,3.17,30.00
VT,0.65,4,490.28,482.87,2.302,14486,14486,0,100.0,482.87,59.12,84.13,0.00,0,0.00,108.4,164,138.0,138,14,47.00,3.36,3.63,40.00
VT,0.50,8,377.14,377.10,2.026,11313,11313,0,100.0,377.10,57.87,80.84,0.00,0,0.00,108.8,162,138.0,138,11,17.00,1.55,3.57,26.00
VT,0.30,6,226.28,224.67,1.586,6740,6740,0,100.0,224.67,56.39,69.14,0.00,0,0.00,112.5,164,138.0,138,6,10.00,1.67,3.63,71.00
PT,0.95,13,716.56,713.13,2.224,21394,21394,0,100.0,713.13,77.54,261.85,10.59,144,8.02,112.5,158,193.0,293,22,44.00,2.00,3.43,98.00
VT,0.65,17,490.28,487.10,2.268,14613,14613,0,100.0,487.10,62.15,89.54,0.00,0,0.00,111.9,164,138.0,138,14,56.00,4.00,3.63,42.00
PT,0.70,3,527.99,527.27,2.058,15818,15818,0,100.0,527.27,62.60,88.86,0.14,9,0.00,119.2,166,169.0,188,17,41.00,2.41,3.70,84.00
PT,0.50,8,377.14,379.13,1.810,11374,11374,0,100.0,379.13,58.81,83.93,0.00,0,0.00,116.8,166,157.8,170,10,15.00,1.50,3.70,48.00
PT,0.70,12,527.99,523.67,2.080,15710,15710,0,100.0,523.67,63.75,94.56,0.15,12,0.00,114.7,164,165.3,181,18,66.00,3.67,3.70,78.00
VT,0.85,4,641.13,641.10,2.515,19233,19233,0,100.0,641.10,64.57,99.82,0.71,13,0.00,97.3,133,138.4,139,19,54.00,2.84,2.60,30.00
VT,0.30,1,226.28,223.40,1.543,6702,6702,0,100.0,223.40,56.77,73.82,0.00,0,0.00,115.8,168,138.0,138,6,12.00,2.00,3.77,63.00
PT,0.80,17,603.42,598.23,2.205,17947,17947,0,100.0,598.23,63.79,93.17,0.39,10,0.00,113.6,169,175.5,198,21,58.00,2.76,3.80,18.00
PT,0.60,20,452.56,450.53,1.983,13516,13516,0,100.0,450.53,59.82,87.05,0.00,0,0.00,116.4,166,161.7,180,13,27.00,2.08,3.70,64.00
PT,0.50,14,377.14,373.30,1.916,11199,11199,0,100.0,373.30,58.13,81.39,0.00,0,0.00,108.8,156,153.4,169,9,15.00,1.67,3.37,95.00
VT,0.85,16,641.13,641.63,2.544,19249,19249,0,100.0,641.63,66.10,112.58,1.01,23,0.00,114.1,162,138.0,138,18,51.00,2.83,3.57,104.00
PT,0.95,17,716.56,718.33,2.350,21550,21550,0,100.0,718.33,73.85,271.75,7.52,143,5.43,115.9,165,186.0,313,22,48.00,2.18,3.67,78.00
PT,0.60,1,452.56,455.57,1.976,13667,13667,0,100.0,455.57,62.24,88.73,0.00,0,0.00,115.3,168,162.6,177,16,37.00,2.31,3.77,108.00
PT,1.05,18,791.98,789.13,2.287,23674,23674,0,100.0,789.13,82.82,165.63,15.08,80,13.05,113.7,166,201.2,260,21,49.00,2.33,3.70,60.00
VT,0.80,3,603.42,605.27,2.376,18158,18158,0,100.0,605.27,64.42,113.89,0.87,40,0.00,107.6,163,138.0,138,17,43.00,2.53,3.60,80.00
PT,0.70,10,527.99,521.87,2.089,15656,15656,0,100.0,521.87,62.47,90.13,0.05,5,0.00,107.8,168,168.4,186,18,36.00,2.00,3.77,88.00
VT,0.95,11,716.56,718.47,2.619,21554,21554,0,100.0,718.47,177.68,521.52,78.25,343,80.03,118.0,167,138.1,139,21,53.00,2.52,3.73,57.00
VT,0.70,15,527.99,525.23,2.319,15757,15757,0,100.0,525.23,62.20,90.63,0.01,1,0.00,110.8,164,139.0,139,15,37.00,2.47,3.63,32.00
PT,0.95,4,716.56,721.33,2.276,21640,21640,0,100.0,721.33,70.12,153.00,4.88,80,2.76,107.7,164,183.8,236,22,47.00,2.14,3.63,58.00
PT,0.85,6,641.13,640.33,2.231,19210,19210,0,100.0,640.33,67.35,179.86,3.30,98,0.68,100.1,143,172.4,234,19,44.00,2.32,2.93,88.00
VT,0.65,12,490.28,494.20,2.279,14826,14826,0,100.0,494.20,61.15,91.35,0.02,2,0.00,115.7,166,138.0,138,14,42.00,3.00,3.70,28.00
PT,0.30,15,226.28,228.17,1.506,6845,6845,0,100.0,228.17,56.32,69.42,0.01,1,0.00,111.2,163,149.4,157,8,8.00,1.00,3.60,101.00
PT,0.85,20,641.13,641.57,2.159,19247,19247,0,100.0,641.57,67.17,158.33,2.51,54,0.57,109.8,166,174.8,226,23,42.00,1.83,3.70,14.00
PT,0.30,17,226.28,233.67,1.578,7010,7010,0,100.0,233.67,56.04,68.36,0.00,0,0.00,113.7,166,146.2,158,6,9.00,1.50,3.70,81.00
VT,0.30,8,226.28,229.80,1.590,6894,6894,0,100.0,229.80,56.72,70.30,0.00,0,0.00,109.9,165,138.0,138,6,10.00,1.67,3.67,79.00
VT,0.85,11,641.13,650.47,2.562,19514,19514,0,100.0,650.47,82.93,276.19,11.13,139,10.82,127.4,164,138.0,138,19,56.00,2.95,3.63,10.00
VT,0.75,4,565.70,567.17,2.389,17015,17015,0,100.0,567.17,64.48,92.36,0.17,10,0.00,110.1,163,138.0,138,16,44.00,2.75,3.60,70.00
VT,0.75,12,565.70,574.47,2.428,17234,17234,0,100.0,574.47,64.42,95.28,0.21,12,0.00,111.0,165,138.0,138,16,34.00,2.13,3.67,74.00
PT,0.95,1,716.56,715.90,2.307,21477,21477,0,100.0,715.90,79.12,226.72,10.96,137,9.19,106.5,163,188.3,277,20,53.00,2.65,3.60,106.00
PT,0.75,13,565.70,568.57,2.122,17057,17057,0,100.0,568.57,63.84,94.14,0.16,8,0.00,119.7,168,170.3,194,18,45.00,2.50,3.77,100.00
VT,0.75,2,565.70,566.20,2.372,16986,16986,0,100.0,566.20,62.85,95.38,0.28,19,0.00,108.8,165,138.0,138,16,55.00,3.44,3.67,58.00
VT,0.85,15,641.13,650.97,2.519,19529,19529,0,100.0,650.97,75.65,245.89,6.55,96,6.09,130.3,164,138.0,138,19,73.00,3.84,3.63,2.00
VT,0.30,14,226.28,225.37,1.557,6761,6761,0,100.0,225.37,55.82,64.89,0.00,0,0.00,115.0,166,138.0,138,6,9.00,1.50,3.70,67.00
VT,0.60,2,452.56,454.40,2.242,13632,13632,0,100.0,454.40,59.36,84.75,0.01,1,0.00,118.5,163,138.0,138,13,25.00,1.92,3.60,24.00
PT,0.30,9,226.28,225.33,1.549,6760,6760,0,100.0,225.33,56.29,71.78,0.00,0,0.00,108.3,163,148.1,156,7,13.00,1.86,3.60,61.00
PT,0.65,18,490.28,489.10,2.099,14673,14673,0,100.0,489.10,60.86,88.95,0.07,10,0.00,115.9,168,164.3,184,18,43.00,2.39,3.77,16.00
VT,0.30,5,226.28,224.60,1.548,6738,6738,0,100.0,224.60,56.35,68.45,0.00,0,0.00,109.9,158,138.0,138,6,8.00,1.33,3.43,63.00
PT,0.30,16,226.28,232.93,1.532,6988,6988,0,100.0,232.93,57.60,75.95,0.00,0,0.00,110.6,159,149.9,156,7,14.00,2.00,3.47,111.00
PT,1.05,10,791.98,794.47,2.279,23834,23834,0,100.0,794.47,74.06,141.60,9.05,79,6.18,112.0,162,192.8,227,23,64.00,2.78,3.57,2.00
VT,0.95,15,716.56,715.60,2.658,21468,21468,0,100.0,715.60,96.72,259.76,21.60,148,21.78,114.8,163,138.0,138,21,51.00,2.43,3.60,63.00
VT,0.65,2,490.28,483.27,2.278,14498,14498,0,100.0,483.27,62.20,89.78,0.01,2,0.00,115.8,169,138.0,138,14,52.00,3.71,3.80,12.00
VT,0.75,1,565.70,580.17,2.469,17405,17405,0,100.0,580.17,61.92,93.35,0.25,14,0.00,111.6,162,138.0,138,16,43.00,2.69,3.57,92.00
VT,0.50,3,377.14,379.83,2.030,11395,11395,0,100.0,379.83,59.29,84.84,0.01,1,0.00,113.9,166,138.0,138,11,33.00,3.00,3.70,6.00
VT,0.95,3,716.56,720.33,2.636,21610,21610,0,100.0,720.33,100.97,211.90,23.82,95,24.98,118.4,167,138.0,138,21,56.00,2.67,3.73,89.00
VT,0.70,7,527.99,530.60,2.296,15918,15918,0,100.0,530.60,63.99,92.50,0.25,10,0.00,112.6,164,138.0,138,15,59.00,3.93,3.63,52.00
PT,0.65,8,490.28,490.40,2.016,14712,14712,0,100.0,490.40,61.24,89.10,0.06,9,0.00,117.2,166,165.9,187,18,35.00,1.94,3.70,36.00
VT,0.75,11,565.70,566.07,2.449,16982,16982,0,100.0,566.07,63.43,96.07,0.16,6,0.00,109.9,167,138.6,139,16,31.00,1.94,3.73,74.00
PT,0.75,12,565.70,564.17,15.958,16925,16925,0,100.0,564.17,13617.26,27339.76,4502.49,9044,7645.01,133.6,169,5587.5,9206,20,245.00,12.25,3.80,105.00
VT,0.60,5,452.56,450.10,2.179,13503,13503,0,100.0,450.10,60.86,88.21,0.00,0,0.00,110.3,167,138.1,139,13,42.00,3.23,3.73,22.00
PT,0.65,20,490.28,490.77,2.099,14723,14723,0,100.0,490.77,61.10,88.43,0.00,0,0.00,99.2,165,162.7,190,16,35.00,2.19,3.67,68.00
VT,0.70,20,527.99,524.07,2.375,15722,15722,0,100.0,524.07,60.23,86.93,0.03,4,0.00,111.4,164,138.0,138,15,47.00,3.13,3.63,28.00
VT,0.85,9,641.13,643.23,2.536,19297,19297,0,100.0,643.23,101.64,390.19,19.89,199,22.74,119.9,166,138.0,138,19,60.00,3.16,3.70,8.00
PT,1.05,6,791.98,799.43,2.372,23983,23983,0,100.0,799.43,132.67,402.96,55.32,301,53.07,105.1,157,238.1,475,22,48.00,2.18,3.40,100.00
VT,0.65,8,490.28,488.97,2.267,14669,14669,0,100.0,488.97,57.24,76.65,0.01,1,0.00,109.6,165,138.0,138,14,25.00,1.79,3.67,26.00
PT,0.65,10,490.28,500.80,2.091,15024,15024,0,100.0,500.80,62.87,94.52,0.14,14,0.00,110.9,160,167.0,188,17,52.00,3.06,3.50,32.00
VT,1.05,11,791.98,802.30,2.664,24069,24069,0,100.0,802.30,1367.06,2960.67,1040.66,1411,1043.61,115.2,162,138.0,138,26,91.00,3.50,3.57,31.00
VT,0.65,7,490.28,493.43,2.290,14803,14803,0,100.0,493.43,59.81,86.71,0.00,0,0.00,111.0,164,138.0,138,14,42.00,3.00,3.63,38.00
PT,0.50,10,377.14,371.30,1.889,11139,11139,0,100.0,371.30,57.06,79.07,0.00,0,0.00,110.2,166,155.2,167,11,17.00,1.55,3.70,13.00
PT,0.30,10,226.28,222.47,1.522,6674,6674,0,100.0,222.47,57.08,71.82,0.00,0,0.00,113.7,165,145.7,153,8,12.00,1.50,3.67,11.00
VT,0.65,11,490.28,489.07,2.189,14672,14672,0,100.0,489.07,62.44,90.59,0.01,1,0.00,113.5,167,138.0,138,14,41.00,2.93,3.73,28.00
VT,0.30,20,226.28,231.47,1.595,6944,6944,0,100.0,231.47,56.42,70.48,0.00,0,0.00,115.6,167,138.0,138,6,9.00,1.50,3.73,83.00
VT,0.60,4,452.56,451.63,2.230,13549,13549,0,100.0,451.63,58.07,84.44,0.03,5,0.00,121.2,164,138.0,138,13,22.00,1.69,3.63,16.00
PT,1.05,4,791.98,789.60,2.303,23688,23688,0,100.0,789.60,85.11,274.02,17.62,176,14.86,112.2,161,203.1,364,23,58.00,2.52,3.53,42.00
VT,0.70,1,527.99,528.00,2.312,15840,15840,0,100.0,528.00,61.24,90.91,0.06,8,0.00,113.9,166,139.0,139,15,46.00,3.07,3.70,46.00
PT,1.05,20,791.98,785.03,2.339,23551,23551,0,100.0,785.03,80.81,190.03,14.04,104,11.40,108.4,167,202.3,292,22,49.00,2.23,3.73,90.00
VT,0.30,19,226.28,224.73,1.585,6742,6742,0,100.0,224.73,56.84,70.00,0.00,0,0.00,107.7,160,138.0,138,6,9.00,1.50,3.50,65.00
PT,0.70,2,527.99,525.67,2.095,15770,15770,0,100.0,525.67,61.70,89.81,0.02,3,0.00,103.8,164,168.9,184,18,32.00,1.78,3.63,38.00
VT,0.95,8,716.56,715.90,2.536,21477,21477,0,100.0,715.90,161.44,462.50,63.53,290,68.12,111.7,163,138.0,138,21,62.00,2.95,3.60,72.00
PT,0.65,9,490.28,491.40,2.026,14742,14742,0,100.0,491.40,60.88,89.89,0.18,11,0.00,117.1,162,163.8,177,18,33.00,1.83,3.57,30.00
VT,0.95,19,716.56,711.07,2.656,21332,21332,0,100.0,711.07,122.36,340.58,36.32,189,39.87,110.0,160,138.0,138,21,57.00,2.71,3.50,62.00
VT,0.30,3,226.28,227.33,1.600,6820,6820,0,100.0,227.33,56.51,70.31,0.00,0,0.00,115.2,164,138.0,138,6,11.00,1.83,3.63,69.00
PT,0.50,4,377.14,370.57,1.910,11117,11117,0,100.0,370.57,58.18,81.32,0.00,0,0.00,107.4,156,156.6,176,10,14.00,1.40,3.37,111.00
VT,0.65,6,490.28,492.07,2.242,14762,14762,0,100.0,492.07,60.91,91.53,0.00,0,0.00,111.2,163,138.0,138,14,29.00,2.07,3.60,36.00
PT,0.65,17,490.28,493.30,2.090,14799,14799,0,100.0,493.30,60.61,86.48,0.07,9,0.00,110.3,166,164.8,185,17,36.00,2.12,3.70,32.00
VT,0.80,1,603.42,611.77,2.483,18353,18353,0,100.0,611.77,71.64,230.74,3.59,106,3.27,116.8,167,138.0,138,17,61.00,3.59,3.73,104.00
VT,0.70,17,527.99,529.80,2.360,15894,15894,0,100.0,529.80,61.67,113.95,0.45,27,0.00,110.9,166,138.0,138,15,47.00,3.13,3.70,42.00
VT,0.80,18,603.42,592.90,2.443,17787,17787,0,100.0,592.90,65.56,97.34,0.42,19,0.00,107.6,165,138.0,138,17,59.00,3.47,3.67,58.00
VT,0.30,4,226.28,224.10,1.588,6723,6723,0,100.0,224.10,56.20,67.61,0.00,0,0.00,106.5,165,138.0,138,6,12.00,2.00,3.67,69.00
